"model","scenario","region","unit","variable","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP1","Cabo Verde","","Gini Income Inequality Coefficient",53.025,52.831,52.493,51.957,51.372,50.69,49.861,48.904,48.38,47.915,47.402,46.846,46.253,45.625,44.964,44.278,43.563,42.82
"Income Inequality Model (2019)","SSP1","Cambodia","","Gini Income Inequality Coefficient",37.279,37.171,37.039,36.713,35.737,34.34,32.979,31.775,30.706,29.812,29.096,28.522,28.061,27.692,27.396,27.159,26.969,26.816
"Income Inequality Model (2019)","SSP1","Cameroon","","Gini Income Inequality Coefficient",48.608,48.345,48.003,47.498,46.456,45.072,43.822,43.108,41.897,40.679,39.591,38.654,37.874,37.207,36.623,36.109,35.658,35.248
"Income Inequality Model (2019)","SSP1","Canada","","Gini Income Inequality Coefficient",28.223,28.604,29.065,29.607,30.17,30.671,31.086,31.416,31.771,32.134,32.506,32.887,33.281,33.696,34.143,34.634,35.168,35.74
"Income Inequality Model (2019)","SSP1","Central African Republic","","Gini Income Inequality Coefficient",62.075,61.881,61.543,61.007,60.422,59.74,58.911,57.954,57.43,56.965,56.452,55.896,55.303,54.675,54.014,53.328,52.613,51.87
"Income Inequality Model (2019)","SSP1","Chad","","Gini Income Inequality Coefficient",49.121,48.876,48.536,48.022,47.103,45.909,44.772,43.993,42.967,41.953,41.019,40.186,39.456,38.799,38.195,37.634,37.112,36.612
"Income Inequality Model (2019)","SSP1","Chile","","Gini Income Inequality Coefficient",55.113,54.84,54.46,53.875,53.129,52.264,51.287,50.216,49.058,47.813,46.474,45.046,43.537,41.948,40.282,38.547,36.715,34.798
"Income Inequality Model (2019)","SSP1","China","","Gini Income Inequality Coefficient",46.057,44.944,43.677,42.03,40.21,38.202,36,33.641,31.162,28.523,25.801,23.53,21.737,20.321,19.202,18.319,17.621,17.07
"Income Inequality Model (2019)","SSP1","Colombia","","Gini Income Inequality Coefficient",54.237,54.025,53.963,53.822,53.558,53.094,52.379,51.391,50.671,49.867,48.983,48.034,47.027,45.971,44.861,43.715,42.533,41.323
"Income Inequality Model (2019)","SSP1","Comoros","","Gini Income Inequality Coefficient",61.765,61.571,61.233,60.697,60.112,59.43,58.601,57.644,57.12,56.655,56.142,55.586,54.993,54.365,53.704,53.018,52.303,51.56
