"model","scenario","region","unit","variable","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP2","Croatia","","Gini Income Inequality Coefficient",31.775,31.914,32.031,32.282,32.45,32.42,32.362,32.282,32.222,32.203,32.191,32.25,32.31,32.37,32.456,32.522,32.592,32.63
"Income Inequality Model (2019)","SSP2","Cuba","","Gini Income Inequality Coefficient",27.037,27.304,27.129,26.864,26.539,25.895,25.031,24.043,22.935,21.762,20.568,19.603,18.823,18.193,17.683,17.271,16.938,16.299
"Income Inequality Model (2019)","SSP2","Cyprus","","Gini Income Inequality Coefficient",32.43,32.575,32.698,32.948,33.116,33.091,33.038,32.964,32.909,32.89,32.877,32.931,32.987,33.042,33.122,33.181,33.244,33.276
"Income Inequality Model (2019)","SSP2","Czechia","","Gini Income Inequality Coefficient",27.377,28.202,29.043,29.785,30.387,30.903,31.359,31.76,32.117,32.421,32.658,32.823,32.922,32.977,33.004,33.021,33.022,32.992
"Income Inequality Model (2019)","SSP2","Côte d'Ivoire","","Gini Income Inequality Coefficient",49.159,49.144,49.105,49.007,48.564,47.986,47.576,47.185,46.478,45.683,45.233,44.432,43.806,43.115,42.358,41.597,40.956,40.321
"Income Inequality Model (2019)","SSP2","Democratic Republic of the Congo","","Gini Income Inequality Coefficient",48.339,48.336,48.358,48.325,47.729,46.955,46.475,46.003,45.008,43.894,43.324,42.136,41.221,40.212,39.106,38,37.087,36.191
"Income Inequality Model (2019)","SSP2","Denmark","","Gini Income Inequality Coefficient",24.248,24.677,25.04,25.321,25.519,25.642,25.695,25.672,25.586,25.439,25.242,25.001,24.717,24.387,24.011,23.597,23.15,22.676
"Income Inequality Model (2019)","SSP2","Djibouti","","Gini Income Inequality Coefficient",50.603,50.566,50.42,50.209,50.035,49.801,49.516,49.264,49.067,48.834,48.593,48.474,48.356,48.226,48.084,47.929,47.767,47.594
"Income Inequality Model (2019)","SSP2","Dominican Republic","","Gini Income Inequality Coefficient",51.411,52.29,52.999,53.631,54.149,54.677,55.242,55.84,56.469,57.139,57.85,58.601,59.398,60.244,61.151,62.116,63.143,64.237
"Income Inequality Model (2019)","SSP2","Ecuador","","Gini Income Inequality Coefficient",39.319,39.084,38.665,38.146,37.499,36.664,35.648,34.446,33.051,31.453,29.649,27.629,25.413,23.43,21.824,20.524,19.472,18.62
"Income Inequality Model (2019)","SSP2","Egypt","","Gini Income Inequality Coefficient",36.787,37.054,36.879,36.614,36.289,35.645,34.781,33.793,32.685,31.512,30.318,29.353,28.573,27.943,27.433,27.021,26.688,26.049
"Income Inequality Model (2019)","SSP2","El Salvador","","Gini Income Inequality Coefficient",42.351,42.42,42.261,42.032,41.732,41.233,40.505,39.572,38.518,37.431,36.239,35.196,34.256,33.486,32.861,32.333,31.842,31.238
"Income Inequality Model (2019)","SSP2","Equatorial Guinea","","Gini Income Inequality Coefficient",49.875,49.864,49.761,49.595,49.27,48.819,48.356,47.84,47.166,46.438,45.815,45.114,44.514,43.936,43.373,42.835,42.354,41.855
"Income Inequality Model (2019)","SSP2","Eritrea","","Gini Income Inequality Coefficient",49.875,49.864,49.761,49.595,49.27,48.819,48.356,47.84,47.166,46.438,45.815,45.114,44.514,43.936,43.373,42.835,42.354,41.855
"Income Inequality Model (2019)","SSP2","Estonia","","Gini Income Inequality Coefficient",35.272,35.245,35.224,35.101,34.843,34.451,33.959,33.405,32.824,32.173,31.415,30.537,29.556,28.506,27.409,26.262,25.035,23.707
"Income Inequality Model (2019)","SSP2","Eswatini","","Gini Income Inequality Coefficient",57.437,57.399,57.249,57.033,56.87,56.648,56.368,56.122,55.945,55.734,55.501,55.408,55.31,55.202,55.083,54.952,54.809,54.653
"Income Inequality Model (2019)","SSP2","Ethiopia","","Gini Income Inequality Coefficient",39.207,39.474,39.299,39.034,38.709,38.065,37.201,36.213,35.105,33.932,32.738,31.773,30.993,30.363,29.853,29.441,29.108,28.469
"Income Inequality Model (2019)","SSP2","Fiji","","Gini Income Inequality Coefficient",48.757,48.748,48.739,48.673,48.155,47.48,47.037,46.606,45.758,44.806,44.297,43.307,42.539,41.692,40.764,39.834,39.06,38.297
"Income Inequality Model (2019)","SSP2","Finland","","Gini Income Inequality Coefficient",25.388,26.088,26.633,27.09,27.447,27.726,27.945,28.113,28.247,28.349,28.422,28.463,28.474,28.458,28.424,28.381,28.333,28.278
"Income Inequality Model (2019)","SSP2","France","","Gini Income Inequality Coefficient",28.475,28.584,28.703,28.78,28.799,28.774,28.716,28.633,28.532,28.416,28.289,28.156,28.024,27.895,27.769,27.642,27.512,27.383
"Income Inequality Model (2019)","SSP2","French Polynesia","","Gini Income Inequality Coefficient",42.098,42.223,42.153,42.012,41.535,40.809,40.129,39.38,38.285,37.097,36.184,35.047,34.145,33.273,32.415,31.608,30.943,30.143
"Income Inequality Model (2019)","SSP2","Gabon","","Gini Income Inequality Coefficient",48.154,48.155,48.19,48.172,47.54,46.722,46.227,45.737,44.677,43.491,42.894,41.62,40.639,39.558,38.373,37.19,36.216,35.261
"Income Inequality Model (2019)","SSP2","Gambia","","Gini Income Inequality Coefficient",53.317,53.279,53.129,52.913,52.75,52.528,52.248,52.002,51.825,51.614,51.381,51.288,51.19,51.082,50.963,50.832,50.689,50.533
"Income Inequality Model (2019)","SSP2","Georgia","","Gini Income Inequality Coefficient",41.774,42.209,42.634,42.982,43.288,43.657,44.007,44.341,44.666,44.991,45.339,45.682,46.025,46.375,46.744,47.168,47.614,48.106
"Income Inequality Model (2019)","SSP2","Germany","","Gini Income Inequality Coefficient",29.824,30.477,31.057,31.564,31.978,32.332,32.636,32.895,33.116,33.31,33.488,33.655,33.815,33.976,34.142,34.321,34.517,34.734
"Income Inequality Model (2019)","SSP2","Ghana","","Gini Income Inequality Coefficient",48.747,48.738,48.73,48.665,48.145,47.468,47.023,46.591,45.74,44.784,44.274,43.279,42.507,41.657,40.724,39.79,39.012,38.247
"Income Inequality Model (2019)","SSP2","Greece","","Gini Income Inequality Coefficient",32.843,33.275,33.629,33.898,34.087,34.267,34.459,34.665,34.876,35.081,35.279,35.48,35.692,35.923,36.176,36.45,36.742,37.052
"Income Inequality Model (2019)","SSP2","Guatemala","","Gini Income Inequality Coefficient",54.699,54.423,53.649,52.634,51.415,49.849,47.928,45.635,42.951,39.856,36.322,32.543,29.362,26.757,24.625,22.88,21.451,20.281
"Income Inequality Model (2019)","SSP2","Guinea","","Gini Income Inequality Coefficient",40.768,40.822,40.664,40.437,40.139,39.652,38.935,38.006,36.956,35.875,34.683,33.634,32.682,31.901,31.267,30.731,30.227,29.626
"Income Inequality Model (2019)","SSP2","Guinea-Bissau","","Gini Income Inequality Coefficient",56.647,56.609,56.459,56.243,56.08,55.858,55.578,55.332,55.155,54.944,54.711,54.618,54.52,54.412,54.293,54.162,54.019,53.863
"Income Inequality Model (2019)","SSP2","Guyana","","Gini Income Inequality Coefficient",44.241,43.887,43.805,43.694,43.372,43.102,42.704,41.98,41.03,40.091,39.029,37.766,36.481,35.346,34.355,33.439,32.51,31.897
"Income Inequality Model (2019)","SSP2","Haiti","","Gini Income Inequality Coefficient",60.657,60.62,60.47,60.253,60.091,59.869,59.589,59.343,59.166,58.954,58.722,58.629,58.531,58.423,58.304,58.173,58.03,57.874
"Income Inequality Model (2019)","SSP2","Honduras","","Gini Income Inequality Coefficient",57.387,57.349,57.199,56.983,56.82,56.598,56.318,56.072,55.895,55.684,55.451,55.358,55.26,55.152,55.033,54.902,54.759,54.603
"Income Inequality Model (2019)","SSP2","Hong Kong","","Gini Income Inequality Coefficient",54.687,54.649,54.499,54.283,54.12,53.898,53.618,53.372,53.195,52.984,52.751,52.658,52.56,52.452,52.333,52.202,52.059,51.903
"Income Inequality Model (2019)","SSP2","Hungary","","Gini Income Inequality Coefficient",26.852,27.44,27.991,28.509,28.965,29.376,29.743,30.055,30.311,30.506,30.643,30.728,30.765,30.762,30.723,30.653,30.554,30.428
"Income Inequality Model (2019)","SSP2","Iceland","","Gini Income Inequality Coefficient",27.224,27.453,27.625,27.746,27.831,27.886,27.915,27.92,27.907,27.877,27.833,27.764,27.637,27.499,27.351,27.194,27.028,26.813
"Income Inequality Model (2019)","SSP2","India","","Gini Income Inequality Coefficient",37.556,39.127,40.634,41.81,42.599,43.373,44.223,45.152,46.17,47.294,48.535,49.905,51.412,53.066,54.877,56.849,58.984,61.29
"Income Inequality Model (2019)","SSP2","Indonesia","","Gini Income Inequality Coefficient",41.256,40.927,40.8,40.64,40.392,40.188,39.734,38.913,37.968,37.053,35.864,34.663,33.401,32.348,31.491,30.73,29.919,29.386
"Income Inequality Model (2019)","SSP2","Iran","","Gini Income Inequality Coefficient",45.572,45.465,45.469,45.426,44.879,44.216,43.745,43.178,42.132,41,40.253,38.956,37.862,36.743,35.594,34.469,33.49,32.622
"Income Inequality Model (2019)","SSP2","Iraq","","Gini Income Inequality Coefficient",36.937,37.204,37.029,36.764,36.439,35.795,34.931,33.943,32.835,31.662,30.468,29.503,28.723,28.093,27.583,27.171,26.838,26.199
"Income Inequality Model (2019)","SSP2","Ireland","","Gini Income Inequality Coefficient",31.199,31.769,32.174,32.437,32.592,32.682,32.747,32.807,32.868,32.92,32.958,32.988,33.022,33.071,33.137,33.22,33.314,33.416
"Income Inequality Model (2019)","SSP2","Israel","","Gini Income Inequality Coefficient",37.167,37.432,37.598,37.718,37.755,37.698,37.566,37.371,37.126,36.825,36.459,36.032,35.55,35.021,34.448,33.828,33.158,32.436
"Income Inequality Model (2019)","SSP2","Italy","","Gini Income Inequality Coefficient",31.306,31.55,31.796,32.02,32.202,32.373,32.541,32.701,32.848,32.974,33.081,33.175,33.262,33.348,33.433,33.515,33.595,33.675
"Income Inequality Model (2019)","SSP2","Jamaica","","Gini Income Inequality Coefficient",61.346,61.466,61.453,61.387,61.239,60.949,60.521,59.958,59.265,58.442,57.469,56.329,55.024,53.54,51.882,50.035,47.985,45.725
"Income Inequality Model (2019)","SSP2","Japan","","Gini Income Inequality Coefficient",32.054,32.356,32.666,32.888,33.044,33.159,33.262,33.355,33.422,33.438,33.391,33.291,33.231,33.16,33.059,32.925,32.778,32.665
"Income Inequality Model (2019)","SSP2","Jordan","","Gini Income Inequality Coefficient",39.697,39.964,39.789,39.524,39.199,38.555,37.691,36.703,35.595,34.422,33.228,32.263,31.483,30.853,30.343,29.931,29.598,28.959
"Income Inequality Model (2019)","SSP2","Kazakhstan","","Gini Income Inequality Coefficient",27.61,27.841,28.015,28.138,28.224,28.281,28.311,28.318,28.307,28.278,28.233,28.164,28.038,27.9,27.753,27.596,27.43,27.216
"Income Inequality Model (2019)","SSP2","Kenya","","Gini Income Inequality Coefficient",54.497,54.459,54.309,54.093,53.93,53.708,53.428,53.182,53.005,52.794,52.561,52.468,52.37,52.262,52.143,52.012,51.869,51.713
"Income Inequality Model (2019)","SSP2","Kuwait","","Gini Income Inequality Coefficient",41.381,41.383,41.27,41.096,40.801,40.363,39.749,38.925,37.948,36.938,35.854,34.803,33.828,32.993,32.279,31.643,31.036,30.406
"Income Inequality Model (2019)","SSP2","Kyrgyzstan","","Gini Income Inequality Coefficient",27.782,28.084,28.382,28.579,28.719,28.835,28.936,29.026,29.088,29.098,29.047,28.939,28.854,28.755,28.627,28.469,28.297,28.148
"Income Inequality Model (2019)","SSP2","Laos","","Gini Income Inequality Coefficient",43.338,43.03,42.902,42.738,42.487,42.268,41.8,40.972,40.022,39.098,37.909,36.716,35.471,34.433,33.588,32.839,32.045,31.508
"Income Inequality Model (2019)","SSP2","Latvia","","Gini Income Inequality Coefficient",36.224,36.659,37.084,37.432,37.738,38.107,38.457,38.791,39.116,39.441,39.789,40.132,40.475,40.825,41.194,41.618,42.064,42.556
"Income Inequality Model (2019)","SSP2","Lebanon","","Gini Income Inequality Coefficient",42.816,42.708,42.563,42.364,42.087,41.72,41.115,40.232,39.227,38.216,37.025,35.912,34.828,33.932,33.203,32.572,31.938,31.365
"Income Inequality Model (2019)","SSP2","Lesotho","","Gini Income Inequality Coefficient",60.167,60.129,59.979,59.763,59.6,59.378,59.098,58.852,58.675,58.464,58.231,58.138,58.04,57.932,57.813,57.682,57.539,57.383
"Income Inequality Model (2019)","SSP2","Liberia","","Gini Income Inequality Coefficient",42.391,42.446,42.288,42.061,41.763,41.276,40.559,39.63,38.58,37.5,36.308,35.258,34.306,33.525,32.891,32.354,31.85,31.249
"Income Inequality Model (2019)","SSP2","Libya","","Gini Income Inequality Coefficient",41.381,41.383,41.27,41.096,40.801,40.363,39.749,38.925,37.948,36.938,35.854,34.803,33.828,32.993,32.279,31.643,31.036,30.406
"Income Inequality Model (2019)","SSP2","Lithuania","","Gini Income Inequality Coefficient",36.483,37.82,39.078,40.161,41.036,41.816,42.525,43.186,43.84,44.503,45.163,45.802,46.425,47.054,47.72,48.441,49.214,50.024
"Income Inequality Model (2019)","SSP2","Luxembourg","","Gini Income Inequality Coefficient",27.566,27.648,27.764,27.823,27.833,27.796,27.716,27.599,27.451,27.281,27.096,26.885,26.669,26.454,26.232,26.002,25.762,25.513
"Income Inequality Model (2019)","SSP2","Macao","","Gini Income Inequality Coefficient",44.033,43.974,43.799,43.549,43.199,42.68,41.991,41.14,40.176,39.165,38.074,37.05,36.078,35.194,34.381,33.604,32.826,31.969
"Income Inequality Model (2019)","SSP2","Madagascar","","Gini Income Inequality Coefficient",46.327,45.981,45.901,45.792,45.463,45.182,44.782,44.062,43.109,42.165,41.112,39.848,38.568,37.434,36.439,35.516,34.585,33.965
"Income Inequality Model (2019)","SSP2","Malawi","","Gini Income Inequality Coefficient",52.105,52.071,51.938,51.74,51.534,51.259,50.959,50.691,50.433,50.133,49.867,49.667,49.489,49.292,49.076,48.849,48.63,48.402
"Income Inequality Model (2019)","SSP2","Malaysia","","Gini Income Inequality Coefficient",52.247,52.209,52.059,51.843,51.68,51.458,51.178,50.932,50.755,50.544,50.311,50.218,50.12,50.012,49.893,49.762,49.619,49.463
"Income Inequality Model (2019)","SSP2","Maldives","","Gini Income Inequality Coefficient",42.636,42.597,42.447,42.236,41.95,41.532,40.88,39.977,38.953,37.913,36.722,35.635,34.607,33.76,33.071,32.48,31.901,31.316
"Income Inequality Model (2019)","SSP2","Mali","","Gini Income Inequality Coefficient",39.077,39.344,39.169,38.904,38.579,37.935,37.071,36.083,34.975,33.802,32.608,31.643,30.863,30.233,29.723,29.311,28.978,28.339
"Income Inequality Model (2019)","SSP2","Malta","","Gini Income Inequality Coefficient",27.698,28.018,28.214,28.323,28.328,28.243,28.094,27.908,27.705,27.498,27.282,27.046,26.779,26.481,26.159,25.824,25.481,25.134
"Income Inequality Model (2019)","SSP2","Mauritania","","Gini Income Inequality Coefficient",43.207,42.949,42.817,42.645,42.387,42.131,41.628,40.787,39.823,38.877,37.688,36.515,35.31,34.307,33.492,32.772,32.018,31.472
"Income Inequality Model (2019)","SSP2","Mauritius","","Gini Income Inequality Coefficient",41.843,42.107,41.932,41.669,41.343,40.702,39.84,38.853,37.746,36.574,35.38,34.414,33.632,32.999,32.487,32.074,31.738,31.1
"Income Inequality Model (2019)","SSP2","Mexico","","Gini Income Inequality Coefficient",54.598,54.182,53.141,51.793,50.263,48.357,46.082,43.437,40.422,37.023,33.243,29.835,27.063,24.809,22.977,21.486,20.274,19.289
"Income Inequality Model (2019)","SSP2","Moldova","","Gini Income Inequality Coefficient",30.594,30.915,31.247,31.464,31.618,31.75,31.871,31.984,32.066,32.086,32.034,31.915,31.841,31.753,31.63,31.471,31.298,31.166
"Income Inequality Model (2019)","SSP2","Mongolia","","Gini Income Inequality Coefficient",39.917,40.184,40.009,39.744,39.419,38.775,37.911,36.923,35.815,34.642,33.448,32.483,31.703,31.073,30.563,30.151,29.818,29.179
"Income Inequality Model (2019)","SSP2","Montenegro","","Gini Income Inequality Coefficient",30.667,30.934,30.759,30.494,30.169,29.525,28.661,27.673,26.565,25.392,24.198,23.233,22.453,21.823,21.313,20.901,20.568,19.929
"Income Inequality Model (2019)","SSP2","Morocco","","Gini Income Inequality Coefficient",46.434,46.109,46.037,45.933,45.585,45.27,44.863,44.157,43.197,42.235,41.209,39.942,38.679,37.547,36.537,35.597,34.662,34.019
"Income Inequality Model (2019)","SSP2","Mozambique","","Gini Income Inequality Coefficient",51.561,51.54,51.472,51.343,50.974,50.488,50.113,49.759,49.191,48.549,48.155,47.54,47.052,46.514,45.924,45.327,44.816,44.307
"Income Inequality Model (2019)","SSP2","Myanmar","","Gini Income Inequality Coefficient",43.713,43.262,43.145,43.007,42.774,42.661,42.292,41.505,40.594,39.731,38.544,37.294,35.933,34.793,33.864,33.031,32.122,31.61
"Income Inequality Model (2019)","SSP2","Namibia","","Gini Income Inequality Coefficient",66.957,66.919,66.769,66.553,66.39,66.168,65.888,65.642,65.465,65.254,65.021,64.928,64.83,64.722,64.603,64.472,64.329,64.173
"Income Inequality Model (2019)","SSP2","Nepal","","Gini Income Inequality Coefficient",38.787,39.054,38.879,38.614,38.289,37.645,36.781,35.793,34.685,33.512,32.318,31.353,30.573,29.943,29.433,29.021,28.688,28.049
"Income Inequality Model (2019)","SSP2","Netherlands","","Gini Income Inequality Coefficient",26.848,27.241,27.504,27.729,27.895,28.007,28.064,28.066,28.018,27.928,27.807,27.663,27.5,27.318,27.117,26.896,26.661,26.416
"Income Inequality Model (2019)","SSP2","New Caledonia","","Gini Income Inequality Coefficient",42.098,42.223,42.153,42.012,41.535,40.809,40.129,39.38,38.285,37.097,36.184,35.047,34.145,33.273,32.415,31.608,30.943,30.143
"Income Inequality Model (2019)","SSP2","New Zealand","","Gini Income Inequality Coefficient",32.908,33.214,33.45,33.628,33.714,33.7,33.595,33.412,33.175,32.874,32.501,32.052,31.532,30.948,30.306,29.606,28.844,28.016
"Income Inequality Model (2019)","SSP2","Nicaragua","","Gini Income Inequality Coefficient",45.625,45.528,45.535,45.495,44.939,44.26,43.787,43.226,42.176,41.036,40.301,39.003,37.917,36.799,35.643,34.51,33.529,32.651
"Income Inequality Model (2019)","SSP2","Niger","","Gini Income Inequality Coefficient",37.487,37.754,37.579,37.314,36.989,36.345,35.481,34.493,33.385,32.212,31.018,30.053,29.273,28.643,28.133,27.721,27.388,26.749
"Income Inequality Model (2019)","SSP2","Nigeria","","Gini Income Inequality Coefficient",48.948,48.936,48.913,48.832,48.349,47.72,47.293,46.881,46.1,45.223,44.741,43.842,43.141,42.368,41.521,40.671,39.96,39.259
"Income Inequality Model (2019)","SSP2","North Macedonia","","Gini Income Inequality Coefficient",44.244,44.679,45.104,45.452,45.758,46.127,46.477,46.811,47.136,47.461,47.809,48.152,48.495,48.845,49.214,49.638,50.084,50.576
"Income Inequality Model (2019)","SSP2","Norway","","Gini Income Inequality Coefficient",25.734,25.963,26.135,26.256,26.341,26.396,26.425,26.43,26.417,26.387,26.343,26.274,26.147,26.009,25.861,25.704,25.538,25.323
"Income Inequality Model (2019)","SSP2","Oman","","Gini Income Inequality Coefficient",41.381,41.383,41.27,41.096,40.801,40.363,39.749,38.925,37.948,36.938,35.854,34.803,33.828,32.993,32.279,31.643,31.036,30.406
"Income Inequality Model (2019)","SSP2","Pakistan","","Gini Income Inequality Coefficient",35.627,35.894,35.719,35.454,35.129,34.485,33.621,32.633,31.525,30.352,29.158,28.193,27.413,26.783,26.273,25.861,25.528,24.889
"Income Inequality Model (2019)","SSP2","Palestine","","Gini Income Inequality Coefficient",40.497,40.764,40.589,40.324,39.999,39.355,38.491,37.503,36.395,35.222,34.028,33.063,32.283,31.653,31.143,30.731,30.398,29.759
"Income Inequality Model (2019)","SSP2","Panama","","Gini Income Inequality Coefficient",54.07,53.709,53.227,52.667,52.021,51.258,50.395,49.422,48.345,47.161,45.876,44.499,43.029,41.478,39.834,38.092,36.26,34.329
"Income Inequality Model (2019)","SSP2","Papua New Guinea","","Gini Income Inequality Coefficient",49.863,49.837,49.746,49.593,49.281,48.87,48.521,48.198,47.74,47.218,46.87,46.401,46.023,45.605,45.147,44.681,44.274,43.864
"Income Inequality Model (2019)","SSP2","Paraguay","","Gini Income Inequality Coefficient",52.587,52.549,52.399,52.183,52.02,51.798,51.518,51.272,51.095,50.884,50.651,50.558,50.46,50.352,50.233,50.102,49.959,49.803
"Income Inequality Model (2019)","SSP2","Peru","","Gini Income Inequality Coefficient",47.93,48.477,48.984,49.408,49.701,49.961,50.22,50.47,50.711,50.943,51.164,51.375,51.583,51.796,52.013,52.227,52.432,52.636
"Income Inequality Model (2019)","SSP2","Philippines","","Gini Income Inequality Coefficient",43.383,43.237,42.905,42.498,41.96,41.219,40.293,39.18,37.867,36.35,34.611,32.657,30.477,28.045,25.364,22.418,19.225,15.775
"Income Inequality Model (2019)","SSP2","Poland","","Gini Income Inequality Coefficient",36.986,37.425,37.914,38.325,38.607,38.78,38.868,38.889,38.869,38.818,38.723,38.565,38.34,38.061,37.748,37.42,37.078,36.707
"Income Inequality Model (2019)","SSP2","Portugal","","Gini Income Inequality Coefficient",36.466,36.474,36.413,36.323,36.187,36.013,35.805,35.561,35.282,34.963,34.608,34.218,33.792,33.332,32.834,32.296,31.714,31.087
"Income Inequality Model (2019)","SSP2","Puerto Rico","","Gini Income Inequality Coefficient",55.994,56.429,56.854,57.202,57.508,57.877,58.227,58.561,58.886,59.211,59.559,59.902,60.245,60.595,60.964,61.388,61.834,62.326
"Income Inequality Model (2019)","SSP2","Qatar","","Gini Income Inequality Coefficient",46.054,45.653,45.554,45.43,45.151,44.956,44.572,43.818,42.887,41.985,40.862,39.606,38.284,37.147,36.186,35.31,34.39,33.825
"Income Inequality Model (2019)","SSP2","Romania","","Gini Income Inequality Coefficient",27.404,27.633,27.805,27.926,28.011,28.066,28.095,28.1,28.087,28.057,28.013,27.944,27.817,27.679,27.531,27.374,27.208,26.993
"Income Inequality Model (2019)","SSP2","Russian Federation","","Gini Income Inequality Coefficient",41.234,41.669,42.094,42.442,42.748,43.117,43.467,43.801,44.126,44.451,44.799,45.142,45.485,45.835,46.204,46.628,47.074,47.566
"Income Inequality Model (2019)","SSP2","Rwanda","","Gini Income Inequality Coefficient",57.327,57.289,57.139,56.923,56.76,56.538,56.258,56.012,55.835,55.624,55.391,55.298,55.2,55.092,54.973,54.842,54.699,54.543
"Income Inequality Model (2019)","SSP2","Saint Lucia","","Gini Income Inequality Coefficient",42.473,42.496,42.341,42.119,41.825,41.361,40.666,39.746,38.705,37.637,36.446,35.384,34.407,33.603,32.951,32.396,31.867,31.272
"Income Inequality Model (2019)","SSP2","Saint Vincent and the Grenadines","","Gini Income Inequality Coefficient",49.115,49.007,48.785,48.481,48.066,47.521,46.837,45.995,45.013,43.984,42.927,41.894,40.944,40.107,39.369,38.702,38.075,37.489
"Income Inequality Model (2019)","SSP2","Samoa","","Gini Income Inequality Coefficient",48.667,48.659,48.657,48.598,48.063,47.367,46.915,46.475,45.595,44.609,44.087,43.054,42.254,41.372,40.406,39.437,38.633,37.842
"Income Inequality Model (2019)","SSP2","Sao Tome and Principe","","Gini Income Inequality Coefficient",36.857,37.124,36.949,36.684,36.359,35.715,34.851,33.863,32.755,31.582,30.388,29.423,28.643,28.013,27.503,27.091,26.758,26.119
"Income Inequality Model (2019)","SSP2","Saudi Arabia","","Gini Income Inequality Coefficient",41.381,41.383,41.27,41.096,40.801,40.363,39.749,38.925,37.948,36.938,35.854,34.803,33.828,32.993,32.279,31.643,31.036,30.406
"Income Inequality Model (2019)","SSP2","Senegal","","Gini Income Inequality Coefficient",45.911,45.482,45.374,45.241,44.988,44.839,44.463,43.69,42.771,41.891,40.732,39.479,38.135,36.996,36.054,35.202,34.288,33.753
"Income Inequality Model (2019)","SSP2","Serbia","","Gini Income Inequality Coefficient",29.695,29.984,30.259,30.442,30.572,30.676,30.765,30.839,30.887,30.89,30.84,30.74,30.647,30.541,30.409,30.251,30.08,29.919
"Income Inequality Model (2019)","SSP2","Sierra Leone","","Gini Income Inequality Coefficient",40.027,40.294,40.119,39.854,39.529,38.885,38.021,37.033,35.925,34.752,33.558,32.593,31.813,31.183,30.673,30.261,29.928,29.289
"Income Inequality Model (2019)","SSP2","Singapore","","Gini Income Inequality Coefficient",53.287,53.249,53.099,52.883,52.72,52.498,52.218,51.972,51.795,51.584,51.351,51.258,51.16,51.052,50.933,50.802,50.659,50.503
"Income Inequality Model (2019)","SSP2","Slovakia","","Gini Income Inequality Coefficient",28.22,30.116,31.963,33.768,35.493,37.224,38.957,40.68,42.386,44.076,45.774,47.495,49.259,51.083,52.987,54.986,57.089,59.299
"Income Inequality Model (2019)","SSP2","Slovenia","","Gini Income Inequality Coefficient",25.064,25.293,25.465,25.586,25.671,25.726,25.755,25.76,25.747,25.717,25.673,25.604,25.477,25.339,25.191,25.034,24.868,24.653
"Income Inequality Model (2019)","SSP2","Solomon Islands","","Gini Income Inequality Coefficient",46.059,46.042,46.077,46.06,45.431,44.623,44.126,43.617,42.535,41.332,40.7,39.391,38.367,37.254,36.047,34.845,33.848,32.887
"Income Inequality Model (2019)","SSP2","Somalia","","Gini Income Inequality Coefficient",45.59,45.486,45.491,45.449,44.899,44.231,43.759,43.194,42.147,41.012,40.269,38.971,37.88,36.762,35.61,34.482,33.503,32.631
"Income Inequality Model (2019)","SSP2","South Africa","","Gini Income Inequality Coefficient",69.367,69.329,69.179,68.963,68.8,68.578,68.298,68.052,67.875,67.664,67.431,67.338,67.24,67.132,67.013,66.882,66.739,66.583
"Income Inequality Model (2019)","SSP2","South Korea","","Gini Income Inequality Coefficient",38.687,38.954,38.779,38.514,38.189,37.545,36.681,35.693,34.585,33.412,32.218,31.253,30.473,29.843,29.333,28.921,28.588,27.949
"Income Inequality Model (2019)","SSP2","Spain","","Gini Income Inequality Coefficient",32.09,32.184,32.284,32.352,32.371,32.356,32.324,32.28,32.219,32.127,31.998,31.837,31.661,31.486,31.318,31.152,30.976,30.787
"Income Inequality Model (2019)","SSP2","Sri Lanka","","Gini Income Inequality Coefficient",43.458,43.104,42.979,42.824,42.579,42.393,41.956,41.142,40.204,39.3,38.111,36.901,35.618,34.547,33.676,32.9,32.069,31.54
"Income Inequality Model (2019)","SSP2","Sudan","","Gini Income Inequality Coefficient",41.133,40.9,40.766,40.589,40.328,40.053,39.533,38.684,37.713,36.756,35.567,34.404,33.22,32.235,31.435,30.73,29.997,29.446
"Income Inequality Model (2019)","SSP2","Suriname","","Gini Income Inequality Coefficient",57.597,57.559,57.409,57.193,57.03,56.808,56.528,56.282,56.105,55.894,55.661,55.568,55.47,55.362,55.243,55.112,54.969,54.813
"Income Inequality Model (2019)","SSP2","Sweden","","Gini Income Inequality Coefficient",27.434,27.663,27.835,27.956,28.041,28.096,28.125,28.13,28.117,28.087,28.043,27.974,27.847,27.709,27.561,27.404,27.238,27.023
"Income Inequality Model (2019)","SSP2","Switzerland","","Gini Income Inequality Coefficient",31.644,31.804,31.945,32.193,32.359,32.348,32.309,32.252,32.208,32.193,32.177,32.216,32.261,32.304,32.366,32.407,32.449,32.468
"Income Inequality Model (2019)","SSP2","Syria","","Gini Income Inequality Coefficient",41.392,40.956,40.839,40.697,40.463,40.338,39.958,39.167,38.252,37.383,36.195,34.952,33.603,32.473,31.554,30.73,29.833,29.318
"Income Inequality Model (2019)","SSP2","Taiwan","","Gini Income Inequality Coefficient",39.837,40.104,39.929,39.664,39.339,38.695,37.831,36.843,35.735,34.562,33.368,32.403,31.623,30.993,30.483,30.071,29.738,29.099
"Income Inequality Model (2019)","SSP2","Tajikistan","","Gini Income Inequality Coefficient",30.717,31.024,31.339,31.56,31.716,31.835,31.942,32.039,32.11,32.127,32.078,31.974,31.912,31.837,31.732,31.592,31.439,31.323
