poverty_3,poverty_4_20,poverty_8_30,poverty_10
2817083478.34734,2817083478.34734,,
2951822204.54432,2951822204.54432,,
3059500000.0,3059500000.0,,
3054500000.0,3054500000.0,,
3106500000.0,3106500000.0,,
3209500000.0,3209500000.0,,
3444500000.0,3444500000.0,,
3819500000.0,3819500000.0,,
4217323400.0,4217323400.0,,
4675767950.0,4675767950.0,,
4790410400.0,4790410400.0,,
4466809600.0,4466809600.0,,
5672900000.0,5672900000.0,,
5663100000.0,5663100000.0,,
5761450000.0,5761450000.0,,
5667200000.0,5667200000.0,,
5620600000.0,5620600000.0,,
5698150000.0,5698150000.0,,
14500437519.8258,14500437519.8258,,
14128408565.7064,14128408565.7064,,
15222012660.4232,15222012660.4232,93.39184,96.37533
12138486532.0203,12138486532.0203,92.2249,95.913055
12736856827.9847,12736856827.9847,89.392914,94.377884
12354820143.8849,12354820143.8849,80.51697,88.70258
14594900944.7658,14594900944.7658,76.07149,85.33121
17825444724.4878,17825444724.4878,73.31021,83.42647
23141566292.9462,23141566292.9462,64.46253,78.055664
30210091836.8294,30210091836.8294,47.229774,62.832607
36961894281.3444,36961894281.3444,36.712555,51.241474
45275711995.825,45275711995.825,28.198954,42.05986
60752106347.126,60752106347.126,23.992449,37.524124
50873167326.0414,50873167326.0414,22.279856,35.579243
57231904542.8755,57231904542.8755,18.038568,28.741821
61762382327.9319,61762382327.9319,14.559896,24.884958
65685890438.8922,65685890438.8922,9.175651,17.052298
75527558966.4473,75527558966.4473,5.844919,11.314139
78813069120.9984,78813069120.9984,5.3658137,11.153274
56454769844.7632,56454769844.7632,6.8234286,13.838763
279201433224.756,279201433224.756,,
252708051420.839,252708051420.839,0.98172355,1.2479589
258528339631.029,258528339631.029,,
258245733221.468,258245733221.468,,
236792460312.471,236792460312.471,0.97794336,0.97794336
236746141604.37,236746141604.37,,
258383599375.177,258383599375.177,,
318082528506.588,318082528506.588,0.90684116,1.0949118
369214712443.206,369214712443.206,0.42100617,0.4449249
385714762230.039,385714762230.039,0.5502336,0.73152864
408259840868.823,408259840868.823,0.44345954,0.5429907
470922156309.453,470922156309.453,0.4182924,0.5352545
517328087920.078,517328087920.078,0.33224556,0.49079162
485014525992.461,485014525992.461,0.34456617,0.6009713
481556503720.001,481556503720.001,0.48944786,0.74253464
527196649048.639,527196649048.639,0.6250968,0.8290234
498414364944.961,498414364944.961,0.47597006,0.5917186
524097026598.55,524097026598.55,0.53334004,0.70274377
537987419164.351,537987419164.351,0.27223513,0.3454623
461044767544.531,461044767544.531,0.23179519,0.3214848
850339100.0,850339100.0,,
