log_gdp_pc,log_population,hdi,control_of_corruption,employment_agriculture,gini_coefficient,gdp_growth_5y,region_EAP,region_ECA,region_LAC,region_MENA,region_NAC,region_SAS
-1.7814474557601192,0.49295168235107256,-1.9580748711859244,-1.262703871542802,1.579858510617962,-0.3681093975249945,-0.7673407258211002,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.8079807075614802,0.5153601895021606,-1.9342149873671062,-1.2051615629486865,1.5668405988232512,-0.2857365262709582,-0.7673407258211002,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.8334451864784567,0.5368660705823128,-1.904390132593584,-1.1476192543545711,1.552110877524482,-0.2033636550169228,-1.5004606982705113,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.8579237357760985,0.557539290400637,-1.8805302487747657,-1.1952237796009983,1.5348386490823032,-0.12099078376288655,-1.4082511798989052,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.8814898333936552,0.5774419043335124,-1.8686003068653567,-1.2428283048474256,1.5163485341467595,-0.03861791250885115,-1.32545247232993,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-2.049737434320387,0.5997009126156632,-1.850705394001243,-1.232588787228565,1.4901674415751467,0.04375495874518511,-1.9395507405024164,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.8807445677551913,0.6210690644980382,-1.6657912944054023,-1.2223492696097047,1.4550963491072273,0.1261278299992205,-1.0852598895694365,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.7994929913792876,0.6416149797684069,-1.6121065558130614,-1.3149031296660207,1.425612691921778,0.1111119420102036,-0.6189971189177225,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.7314184987175032,0.6613995537391314,-1.5166670205377892,-1.3213367280735744,1.383314305573545,0.09609605402118666,-0.2146152509990584,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
-1.6454821252013236,0.6804772439600075,-1.4629822819454483,-1.4174342018950157,1.3512689843967778,0.0420388572607254,0.26382190116047605,-0.3900947488027469,-0.6185537128270867,-0.4421410655034333,-0.3344968040028363,-0.11286652959662008,4.344536799245691
