country_name,scenario,log_gdp_pc_ood_onset,log_population_ood_onset,hdi_ood_onset,control_of_corruption_ood_onset,employment_agriculture_ood_onset,gini_coefficient_ood_onset,gdp_growth_5y_ood_onset,region_EAP_ood_onset,region_ECA_ood_onset,region_LAC_ood_onset,region_MENA_ood_onset,region_NAC_ood_onset,region_SAS_ood_onset
Moldova,SSP4,2025,,,,2090.0,,,,,,,2025.0,2025.0
Moldova,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Mongolia,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Mongolia,SSP4,2025,,,,2075.0,,,,,,,2025.0,2025.0
Mongolia,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Morocco,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Morocco,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Morocco,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Mozambique,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
Mozambique,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Mozambique,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Namibia,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Namibia,SSP4,2025,,,,2085.0,2040.0,,,,,,2025.0,2025.0
Namibia,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Nepal,SSP1,2025,,,,2090.0,,,,,,,2025.0,
Nepal,SSP4,2025,,,,,,,,,,,2025.0,
Nepal,SSP5,2025,,,,2080.0,,,,,,,2025.0,
Netherlands,SSP1,2025,,,,2090.0,2070.0,,,,,,2025.0,2025.0
Netherlands,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Netherlands,SSP5,2025,,,,2075.0,2060.0,,,,,,2025.0,2025.0
New Zealand,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
New Zealand,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
New Zealand,SSP5,2025,,,,2075.0,2090.0,,,,,,2025.0,2025.0
Nicaragua,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Nicaragua,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Nicaragua,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Niger,SSP1,2025,,,,,,,,,,,2025.0,2025.0
Niger,SSP4,2025,,2025.0,,,,,,,,,2025.0,2025.0
Niger,SSP5,2025,,,,2085.0,,,,,,,2025.0,2025.0
Nigeria,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Nigeria,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Nigeria,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
North Macedonia,SSP1,2025,,,,2080.0,,,,,,,2025.0,2025.0
North Macedonia,SSP4,2025,,,,2090.0,,,,,,,2025.0,2025.0
North Macedonia,SSP5,2025,,,,2075.0,,,,,,,2025.0,2025.0
Norway,SSP1,2025,,,,,2080.0,,,,,,2025.0,2025.0
Norway,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Norway,SSP5,2025,,,,2090.0,2070.0,,,,,,2025.0,2025.0
Pakistan,SSP1,2025,,,,2080.0,,,,,,,2025.0,
Pakistan,SSP4,2025,,,,,,,,,,,2025.0,
Pakistan,SSP5,2025,,,,2070.0,,,,,,,2025.0,
Panama,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Panama,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Panama,SSP5,2025,,,,2065.0,2090.0,,,,,,2025.0,2025.0
Paraguay,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Paraguay,SSP4,2025,,,,2095.0,,,,,,,2025.0,2025.0
Paraguay,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Peru,SSP1,2025,,,,2065.0,,,,,,,2025.0,2025.0
Peru,SSP4,2025,,,,2075.0,,,,,,,2025.0,2025.0
Peru,SSP5,2025,,,,2065.0,2095.0,,,,,,2025.0,2025.0
Philippines,SSP1,2025,,,,2075.0,2070.0,,,,,,2025.0,2025.0
Philippines,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Philippines,SSP5,2025,,,,2070.0,2065.0,,,,,,2025.0,2025.0
Poland,SSP1,2025,,,,,,,,,,,2025.0,2025.0
Poland,SSP4,2025,,,,2100.0,,,,,,,2025.0,2025.0
Poland,SSP5,2025,,,,2090.0,2085.0,,,,,,2025.0,2025.0
Portugal,SSP1,2025,,,,2100.0,2090.0,,,,,,2025.0,2025.0
Portugal,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Portugal,SSP5,2025,,,,2085.0,2075.0,,,,,,2025.0,2025.0
Romania,SSP1,2025,,,,2090.0,,,,,,,2025.0,2025.0
Romania,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Romania,SSP5,2025,,,,2075.0,2090.0,,,,,,2025.0,2025.0
Russian Federation,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
