model_name,threshold,rmse,mae,r2,mape
random_forest,$3,2219287935711.864,524986726885.7016,-0.05927594005941139,99.99999846764356
xgboost_cpu,$3,2219287935711.8687,524986726889.65485,-0.059275940059416055,99.99999878907317
xgboost_gpu,$3,2219287935711.8687,524986726889.65485,-0.059275940059416055,99.99999878907317
ridge,$3,2219287935711.9014,524986726904.65936,-0.05927594005944692,99.99999973030012
gam,$3,2219287935712.3813,524986726917.86694,-0.05927594005990522,99.99999923556173
mlp,$3,2219287935712.908,524986726919.3606,-0.05927594006040815,99.99999909245959
