"model","scenario","region","unit","variable","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"Governance Model (2020)","SSP1","Belarus","","Governance Index|Control of Corruption",0.335082334,0.345510178,0.355651584,0.365518784,0.37512316,0.384475347,0.392760505,0.400840505,0.408721886,0.416410962,0.423913825,0.43069714,0.437314045,0.443769616,0.450068768,0.456216266,0.462255045,0.468153538,0.473916003,0.479546565,0.485049224,0.490328767,0.495488055,0.500530728,0.505460319,0.510280251,0.515022323,0.519660712,0.524198552,0.528638881,0.532984646,0.536842543,0.540610792,0.544292098,0.547889082,0.551404285,0.555430029,0.559377539,0.563249173,0.567047215,0.570773878,0.574081248,0.577319524,0.580490792,0.583597072,0.586640321,0.590040301,0.593378715,0.596657433,0.599878263,0.603042959,0.606225204,0.609352589,0.612426791,0.615449432,0.61842208,0.62097337,0.62347592,0.625931228,0.628340738,0.63070585,0.633087043,0.635424694,0.637720147,0.639974701,0.64218961,0.644319951,0.646411411,0.648465195,0.650482464,0.652464342,0.65437152,0.65624362,0.658081734,0.659886917,0.661660186,0.663452247,0.665212754,0.666942695,0.668643017,0.670314638,0.671979863,0.673617459,0.675228278,0.67681314
"Governance Model (2020)","SSP1","Belgium","","Governance Index|Control of Corruption",0.787883954,0.790714473,0.793505637,0.796259864,0.798979356,0.801666124,0.80467724,0.80763696,0.810548868,0.813416187,0.816241824,0.819185895,0.822091982,0.824962379,0.827799179,0.830604295,0.832885422,0.835141486,0.837373727,0.839583295,0.84177126,0.843653536,0.845519866,0.847370884,0.849207186,0.851029337,0.852434416,0.853828837,0.855212947,0.856587078,0.857951546,0.859495425,0.86103156,0.862560167,0.864081455,0.865595621,0.866756271,0.867910537,0.869058583,0.870200563,0.87133663,0.872703533,0.874064748,0.87542041,0.876770653,0.878115604,0.879141171,0.880161258,0.881175996,0.882185508,0.883189915,0.884309851,0.885424405,0.886533701,0.887637863,0.888737006,0.889747369,0.890752607,0.891752838,0.892748175,0.893738727,0.894408604,0.895073536,0.895733634,0.896389004,0.897039752,0.898044808,0.899044861,0.900040023,0.901030405,0.902016111,0.902703576,0.903385692,0.904062582,0.904734368,0.905401165,0.905988788,0.906571093,0.907148205,0.907720242,0.90828732,0.908968591,0.909644656,0.910315636,0.910981646
"Governance Model (2020)","SSP1","Belize","","Governance Index|Control of Corruption",0.401011947,0.408775722,0.416350783,0.42374502,0.430965813,0.438020089,0.444341534,0.450499209,0.45649986,0.462349812,0.468055016,0.473731803,0.479276193,0.484693083,0.489987125,0.495162746,0.499778025,0.50428567,0.508689338,0.51299254,0.517198639,0.521193693,0.525098763,0.528916781,0.532650571,0.53630285,0.539694415,0.543009037,0.546249179,0.549417214,0.552515432,0.555709175,0.55883507,0.5618953,0.564891966,0.567827093,0.570318257,0.572750034,0.575124326,0.577442968,0.579707726,0.582370716,0.584982499,0.587544694,0.590058859,0.5925265,0.594703802,0.596837784,0.598929779,0.600981077,0.602992921,0.605459568,0.607883779,0.610266943,0.612610392,0.614915407,0.616999692,0.619042315,0.621044731,0.623008331,0.624934444,0.626956092,0.628937349,0.630879705,0.632784578,0.634653315,0.636906282,0.639121995,0.641301843,0.643447148,0.645559164,0.647297516,0.649001159,0.650671407,0.652309505,0.653916637,0.655317164,0.656686555,0.658025969,0.659336506,0.660619214,0.662260707,0.663874203,0.665460728,0.667021255
"Governance Model (2020)","SSP1","Benin","","Governance Index|Control of Corruption",0.287564437,0.292179104,0.296706153,0.301149526,0.305512892,0.309799684,0.314563633,0.319239279,0.323831071,0.328343108,0.332779179,0.337722245,0.34257311,0.347337054,0.352018881,0.356622973,0.361626543,0.366536116,0.371357579,0.376096233,0.380756876,0.3852568,0.389661578,0.393977595,0.398210564,0.40236562,0.406762425,0.411061208,0.415269033,0.419392174,0.423436229,0.427672448,0.431810276,0.435857119,0.439819524,0.443703311,0.447512317,0.451229428,0.454861497,0.458414592,0.461894117,0.465440416,0.468904559,0.472292434,0.475609283,0.478859802,0.482141608,0.48535127,0.488493696,0.491573287,0.49459401,0.498055176,0.501453187,0.504792115,0.508075634,0.511307076,0.514281212,0.517201098,0.52007001,0.522890924,0.525666557,0.528510948,0.531301715,0.534042155,0.536735261,0.539383759,0.542061713,0.54468933,0.547269659,0.549805471,0.552299299,0.554857855,0.557372704,0.559846335,0.562281029,0.564678877,0.566971354,0.569229176,0.571454106,0.573647776,0.575811697,0.577949162,0.580059501,0.582143938,0.584203619
"Governance Model (2020)","SSP1","Bhutan","","Governance Index|Control of Corruption",0.682999235,0.687515602,0.691797671,0.695878376,0.69978416,0.703536578,0.707296649,0.710945541,0.714494385,0.71795272,0.721328782,0.72441386,0.727449265,0.730438407,0.733384355,0.736289883,0.738579896,0.740842482,0.743079058,0.745290936,0.747479328,0.749992729,0.752479265,0.75494031,0.757377135,0.75979092,0.762022629,0.764224771,0.766398928,0.768546563,0.770669024,0.773179328,0.775657605,0.778105636,0.780525061,0.782917388,0.785185881,0.787422776,0.789629821,0.791808624,0.793960663,0.796387156,0.798786181,0.80115916,0.803507406,0.805832134,0.807924143,0.809993695,0.812041843,0.81406957,0.816077791,0.818439153,0.820780963,0.82310408,0.825409307,0.827697397,0.829689538,0.831663719,0.833620697,0.835561182,0.83748584,0.839644741,0.841786943,0.843913126,0.846023928,0.848119949,0.850574289,0.853013422,0.855437942,0.857848403,0.860245334,0.862427896,0.864596693,0.866752236,0.868895006,0.871025459,0.873072057,0.875106258,0.877128497,0.879139189,0.881138725,0.883060217,0.884970241,0.886869183,0.888757414
"Governance Model (2020)","SSP1","Bolivia","","Governance Index|Control of Corruption",0.325263524,0.333054124,0.340697397,0.348198522,0.355562442,0.362793888,0.369735133,0.376545996,0.383231139,0.389795007,0.396241842,0.402632792,0.408894834,0.415033318,0.421053264,0.426959393,0.433191976,0.439293399,0.445270119,0.451128081,0.456872776,0.462528557,0.468055829,0.473461616,0.478752309,0.483933753,0.489051244,0.494052763,0.498944669,0.503732752,0.508422311,0.513023274,0.517528093,0.521941604,0.526268261,0.530512177,0.53458711,0.538586162,0.542512683,0.546369803,0.55016045,0.553755465,0.55729106,0.560769542,0.564193095,0.567563788,0.570933325,0.574255955,0.577533317,0.580766975,0.583958425,0.586887805,0.589778701,0.592632373,0.595450036,0.598232852,0.600646148,0.603026899,0.605376136,0.60769485,0.609983993,0.611956072,0.613900168,0.615817143,0.617707832,0.619573036,0.621753709,0.623910197,0.626043227,0.628153506,0.630241714,0.631784924,0.633307189,0.634809127,0.636291338,0.637754397,0.638967637,0.640162748,0.641340254,0.642500662,0.643644464,0.645157603,0.646653698,0.648133245,0.649596724
"Governance Model (2020)","SSP1","Bosnia and Herzegovina","","Governance Index|Control of Corruption",0.394174241,0.401354984,0.408257394,0.41491349,0.421349422,0.427586868,0.433628375,0.439526312,0.445290958,0.450931377,0.456455621,0.461946618,0.467346676,0.472660417,0.477892095,0.483045637,0.487798607,0.492487686,0.497115436,0.501684268,0.506196464,0.510274816,0.514304485,0.518287166,0.522224481,0.526117981,0.52972959,0.533301883,0.536836134,0.540333567,0.543795361,0.547102812,0.550377547,0.553620582,0.556832895,0.560015432,0.562884768,0.565725786,0.568539348,0.571326288,0.57408741,0.577092414,0.580072114,0.583027277,0.585958644,0.588866929,0.591276069,0.59366194,0.596025254,0.598366695,0.600686921,0.603374029,0.60603954,0.608684119,0.611308405,0.613913015,0.616350942,0.618768872,0.621167421,0.623547184,0.625908732,0.627967677,0.630008043,0.632030404,0.634035315,0.636023306,0.638283804,0.640526712,0.642752579,0.644961934,0.647155282,0.648958644,0.6507452,0.652515481,0.654269994,0.656009229,0.657665337,0.659306158,0.660932166,0.662543817,0.664141548,0.665644783,0.667134403,0.668610818,0.670074423
"Governance Model (2020)","SSP1","Botswana","","Governance Index|Control of Corruption",0.649273472,0.651103242,0.65287619,0.654596472,0.656267805,0.657893523,0.660558881,0.663124092,0.66559871,0.667990982,0.670308078,0.672523862,0.674650611,0.676696365,0.678668123,0.680572014,0.682831117,0.685025977,0.687161571,0.689242323,0.691272175,0.693521504,0.695730881,0.697902779,0.700039448,0.70214294,0.703792356,0.705416896,0.707017785,0.708596163,0.710153087,0.711942722,0.713716177,0.715474099,0.717217098,0.718945749,0.720314167,0.721669794,0.723013087,0.724344479,0.72566438,0.727325784,0.728975787,0.730614773,0.732243109,0.733861143,0.735180835,0.736489434,0.737787309,0.739074811,0.740352276,0.741986138,0.743609518,0.745222755,0.746826173,0.748420082,0.749695663,0.750961585,0.752218148,0.753465639,0.754704333,0.75595672,0.757200161,0.758434926,0.759661272,0.760879442,0.762110255,0.763332764,0.764547209,0.76575382,0.766952817,0.768167386,0.769374119,0.770573234,0.771764944,0.77294945,0.774150785,0.775344653,0.77653126,0.777710801,0.778883466,0.780074639,0.781258624,0.782435615,0.783605796
"Governance Model (2020)","SSP1","Brazil","","Governance Index|Control of Corruption",0.433875335,0.439709215,0.445387453,0.450915912,0.456300149,0.46154544,0.466411696,0.471151291,0.475768594,0.480267786,0.484652872,0.489038669,0.49331732,0.497492402,0.501567347,0.505545455,0.509753776,0.513862934,0.517876438,0.521797635,0.525629727,0.529243757,0.532764766,0.536196281,0.539541647,0.542804038,0.546458535,0.550028811,0.553518139,0.556929618,0.560266179,0.563157897,0.565977239,0.568726931,0.571409558,0.574027577,0.577010548,0.579933647,0.582798987,0.585608584,0.588364365,0.590589413,0.592766122,0.594896073,0.596980786,0.599021721,0.601445203,0.603827879,0.606171038,0.608475925,0.610743739,0.612686782,0.614593585,0.616465292,0.618303003,0.620107781,0.622380097,0.624619235,0.626826255,0.629002176,0.631147981,0.632902438,0.634626315,0.636320604,0.637986255,0.639624184,0.641301264,0.642950093,0.644571596,0.646166662,0.647736143,0.649582518,0.65140258,0.653197206,0.654967231,0.656713457,0.658241649,0.659746209,0.661227914,0.662687507,0.664125699,0.665482392,0.66681777,0.668132524,0.669427315
"Governance Model (2020)","SSP1","Brunei Darussalam","","Governance Index|Control of Corruption",0.584455048,0.583474688,0.582401188,0.58122544,0.579936805,0.578522759,0.57808161,0.577569492,0.576980491,0.576307839,0.575543745,0.575422822,0.575277147,0.575105759,0.574907614,0.574681575,0.575528745,0.576371577,0.577210136,0.578044486,0.578874685,0.580198121,0.581517564,0.582833108,0.584144844,0.585452861,0.587066073,0.588669423,0.590263194,0.591847656,0.593423071,0.595386464,0.597326871,0.599245316,0.601142757,0.603020088,0.604813254,0.60657509,0.608307249,0.610011252,0.61168851,0.613768217,0.615818902,0.617842046,0.619839019,0.621811091,0.623730854,0.625629303,0.627507375,0.629365945,0.631205832,0.632686292,0.634149922,0.635597383,0.637029295,0.638446248,0.640206294,0.641951537,0.643682524,0.645399772,0.647103773,0.648514795,0.649911601,0.65129471,0.652664611,0.654021769,0.655405475,0.656775942,0.658133638,0.659479006,0.660812468,0.66250181,0.664178851,0.665844013,0.667497694,0.669140275,0.670483896,0.671815659,0.673135962,0.674445186,0.675743693,0.677069042,0.678383142,0.679686364,0.68097906
