"model","scenario","region","unit","variable","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075"
"Human Development Index Model (2015)","SSP2","Colombia","","Human Development Index",0.661357698,0.678204786,0.695242786,0.710670094,0.724408757,0.736370733,0.747867778,0.758972748,0.769018769,0.776597527,0.782625718,0.787594253,0.791721431,0.795199199
"Human Development Index Model (2015)","SSP2","Comoros","","Human Development Index",0.408831283,0.423555416,0.442017201,0.462860021,0.483032369,0.501876076,0.52076373,0.539633321,0.558628615,0.575832451,0.591653676,0.60636659,0.620382396,0.633139728
"Human Development Index Model (2015)","SSP2","Congo","","Human Development Index",0.500357144,0.520605414,0.548087676,0.575153765,0.596200618,0.612423891,0.625539588,0.636612481,0.647985429,0.658104063,0.66815601,0.677650797,0.687374004,0.696564424
"Human Development Index Model (2015)","SSP2","Costa Rica","","Human Development Index",0.686420875,0.697592741,0.708394795,0.717903314,0.726219913,0.733587013,0.741359385,0.74842401,0.755588014,0.760528723,0.765401226,0.770505086,0.776330784,0.782843154
"Human Development Index Model (2015)","SSP2","Croatia","","Human Development Index",0.756934005,0.76907591,0.780534171,0.790648282,0.799246213,0.805682163,0.811448229,0.815533318,0.818829209,0.820292704,0.821576776,0.823194714,0.825196604,0.827486372
"Human Development Index Model (2015)","SSP2","Cuba","","Human Development Index",0.693769851,0.707393401,0.723718566,0.736146214,0.746276244,0.753969647,0.760972473,0.765767301,0.769861074,0.772304788,0.774046345,0.776458813,0.779111478,0.781601513
"Human Development Index Model (2015)","SSP2","Cyprus","","Human Development Index",0.82148573,0.835229687,0.852988572,0.868884097,0.879705633,0.887230892,0.893801559,0.897484204,0.899993157,0.900298202,0.900225842,0.900261723,0.900493977,0.900964405
"Human Development Index Model (2015)","SSP2","Czechia","","Human Development Index",0.806670778,0.81330115,0.818017062,0.822038368,0.826312156,0.831084562,0.836572191,0.840697933,0.843203524,0.843987448,0.844555642,0.845668499,0.847237145,0.849137305
"Human Development Index Model (2015)","SSP2","Côte d'Ivoire","","Human Development Index",0.389555912,0.413047065,0.432281179,0.452822641,0.474554371,0.497259579,0.520178773,0.542636285,0.564679355,0.584326826,0.602600931,0.619300498,0.635189218,0.649646617
"Human Development Index Model (2015)","SSP2","Democratic Republic of the Congo","","Human Development Index",0.272657688,0.334942987,0.410509139,0.471884313,0.513706158,0.543912148,0.566484788,0.585101799,0.601682565,0.61528339,0.627548519,0.639920827,0.651611019,0.663146982
"Human Development Index Model (2015)","SSP2","Denmark","","Human Development Index",0.824160392,0.827010391,0.830154899,0.83526121,0.839803737,0.843898235,0.848245159,0.851255495,0.853718179,0.854468802,0.854921409,0.855653966,0.856566703,0.857727982
"Human Development Index Model (2015)","SSP2","Dominican Republic","","Human Development Index",0.67327077,0.689506027,0.705442989,0.716991648,0.728273996,0.739084474,0.750319049,0.760104305,0.768622468,0.774576119,0.779385161,0.783521005,0.787251421,0.790714982
"Human Development Index Model (2015)","SSP2","Ecuador","","Human Development Index",0.668880855,0.68601228,0.705985911,0.724925784,0.741939246,0.756011205,0.768569728,0.778610087,0.788089481,0.795532,0.802504643,0.807949863,0.812623382,0.816706225
"Human Development Index Model (2015)","SSP2","Egypt","","Human Development Index",0.622660072,0.64410755,0.664948004,0.683821738,0.700827523,0.716992086,0.732401608,0.745344311,0.75644019,0.764612591,0.771375382,0.777181658,0.782330405,0.786849869
"Human Development Index Model (2015)","SSP2","El Salvador","","Human Development Index",0.604038216,0.62136205,0.638444935,0.655387462,0.67139354,0.686508692,0.701478211,0.714629868,0.727370147,0.738634933,0.74815169,0.756562211,0.764146449,0.771023072
"Human Development Index Model (2015)","SSP2","Equatorial Guinea","","Human Development Index",0.582064942,0.597602388,0.610242979,0.622428508,0.63435762,0.645415954,0.656295765,0.667051259,0.677583429,0.686600656,0.694917941,0.70264152,0.710820217,0.718167613
"Human Development Index Model (2015)","SSP2","Estonia","","Human Development Index",0.778902147,0.787657362,0.797402568,0.806718823,0.813687526,0.817997396,0.822141054,0.824470604,0.825983006,0.826056857,0.826185508,0.826905143,0.82820321,0.829893623
"Human Development Index Model (2015)","SSP2","Eswatini","","Human Development Index",0.512974031,0.519539705,0.539873085,0.559695338,0.578265051,0.595238692,0.610818396,0.625480419,0.640075992,0.65342877,0.665140946,0.676259905,0.686267986,0.696349241
"Human Development Index Model (2015)","SSP2","Ethiopia","","Human Development Index",0.342040032,0.380121741,0.41263148,0.434900532,0.454863857,0.473585187,0.492628006,0.510975639,0.528904684,0.545449449,0.561874808,0.577862652,0.59408266,0.610042701
"Human Development Index Model (2015)","SSP2","Finland","","Human Development Index",0.85139041,0.85658687,0.862009437,0.868499423,0.873364106,0.876757586,0.880437406,0.88196962,0.882759266,0.881669396,0.88036502,0.879341414,0.878751419,0.878397733
"Human Development Index Model (2015)","SSP2","France","","Human Development Index",0.823598556,0.833751851,0.848296402,0.863606804,0.876254815,0.886288358,0.894801871,0.901246644,0.905748302,0.907788951,0.908926336,0.909988335,0.911032135,0.912079192
"Human Development Index Model (2015)","SSP2","Gabon","","Human Development Index",0.58923985,0.604517854,0.614701509,0.624841653,0.634084975,0.643917689,0.654008676,0.663450586,0.672851981,0.681414131,0.689016665,0.696486086,0.704614135,0.712854358
"Human Development Index Model (2015)","SSP2","Gambia","","Human Development Index",0.429671885,0.458297049,0.48467819,0.506396285,0.525901485,0.54358014,0.560509298,0.575693918,0.590376367,0.603231517,0.615080716,0.626344579,0.637550287,0.648126009
"Human Development Index Model (2015)","SSP2","Georgia","","Human Development Index",0.709715204,0.74200084,0.789634001,0.820872546,0.835327216,0.840070873,0.842175404,0.842438298,0.843398262,0.843708041,0.844526876,0.845921761,0.84772106,0.849805384
"Human Development Index Model (2015)","SSP2","Germany","","Human Development Index",0.867315004,0.871118719,0.874401294,0.878466945,0.881966135,0.885241221,0.889478414,0.892093681,0.894324002,0.895027768,0.895906655,0.896598433,0.897349383,0.898707583
"Human Development Index Model (2015)","SSP2","Ghana","","Human Development Index",0.479300701,0.496766443,0.513099244,0.528060137,0.543262282,0.559338813,0.5758181,0.592515382,0.609094276,0.62426456,0.63894792,0.652524079,0.665455667,0.677855412
"Human Development Index Model (2015)","SSP2","Greece","","Human Development Index",0.788720209,0.800292764,0.814290229,0.82873022,0.842101335,0.852819277,0.862144306,0.868773933,0.874119965,0.876607273,0.878220803,0.879857439,0.881259281,0.882741473
"Human Development Index Model (2015)","SSP2","Guatemala","","Human Development Index",0.528684016,0.544056943,0.5624608,0.580168718,0.596809304,0.612591566,0.627713843,0.64110101,0.653386715,0.663703799,0.673032939,0.681781157,0.690214535,0.698376287
"Human Development Index Model (2015)","SSP2","Guinea","","Human Development Index",0.311555159,0.332555932,0.354972569,0.381768053,0.409384537,0.436131898,0.461352547,0.485358915,0.507447066,0.527609896,0.546132956,0.563392377,0.579884074,0.595838205
"Human Development Index Model (2015)","SSP2","Guinea-Bissau","","Human Development Index",0.327563526,0.355294532,0.377897475,0.400001935,0.42096436,0.441502887,0.460905307,0.480021592,0.498625601,0.516358485,0.532944584,0.548788604,0.563848683,0.578646586
"Human Development Index Model (2015)","SSP2","Guyana","","Human Development Index",0.600425959,0.607746472,0.616245497,0.626366027,0.637522211,0.648522591,0.659197077,0.668587345,0.677293137,0.68404381,0.690171804,0.69600315,0.701502346,0.706898226
"Human Development Index Model (2015)","SSP2","Haiti","","Human Development Index",0.428913309,0.451606717,0.481891245,0.512989173,0.542078846,0.567879736,0.590365104,0.609590907,0.626403653,0.640141287,0.653416767,0.666826433,0.679153939,0.690311482
"Human Development Index Model (2015)","SSP2","Honduras","","Human Development Index",0.541870964,0.558629979,0.576539643,0.593265573,0.608631617,0.622724149,0.636378419,0.64841854,0.65996789,0.669460295,0.678331541,0.687138974,0.69587401,0.704410931
"Human Development Index Model (2015)","SSP2","Hong Kong","","Human Development Index",0.863275248,0.874441734,0.885781116,0.895968795,0.904802283,0.912983456,0.921739268,0.92784645,0.932513271,0.934533775,0.935491327,0.936212475,0.936776909,0.937309016
"Human Development Index Model (2015)","SSP2","Hungary","","Human Development Index",0.750025172,0.759806717,0.771102374,0.782522139,0.79143928,0.798216318,0.804058456,0.807961086,0.811026518,0.812390959,0.813563711,0.815048583,0.816806148,0.818864556
"Human Development Index Model (2015)","SSP2","Iceland","","Human Development Index",0.855447242,0.863244122,0.873890937,0.885776842,0.896160942,0.904475599,0.91210849,0.917790868,0.922509014,0.925148546,0.927273829,0.929422139,0.931497637,0.933478346
"Human Development Index Model (2015)","SSP2","India","","Human Development Index",0.523168511,0.556354731,0.596985795,0.631661692,0.65915695,0.681731556,0.700638068,0.714902522,0.725611404,0.732932175,0.739523032,0.745776118,0.751829752,0.757315285
"Human Development Index Model (2015)","SSP2","Indonesia","","Human Development Index",0.599236863,0.6234907,0.656210266,0.684378479,0.706633533,0.724184397,0.738667899,0.749196724,0.759332537,0.767011169,0.773702298,0.779428574,0.784461152,0.789298233
"Human Development Index Model (2015)","SSP2","Iran","","Human Development Index",0.664532441,0.688272634,0.706932488,0.722020333,0.734590656,0.746664542,0.759791392,0.771468702,0.781903338,0.789628044,0.796241555,0.8018646,0.807267155,0.811784869
"Human Development Index Model (2015)","SSP2","Iraq","","Human Development Index",0.591315003,0.620937737,0.664851705,0.700582386,0.725874031,0.742980373,0.755614185,0.764130817,0.770977971,0.776148035,0.780559661,0.78482533,0.789098669,0.793501217
"Human Development Index Model (2015)","SSP2","Ireland","","Human Development Index",0.849317102,0.858436137,0.868491097,0.880438718,0.890758257,0.89893077,0.905549478,0.909722303,0.912700406,0.913534075,0.913818206,0.914169343,0.914408238,0.914656798
"Human Development Index Model (2015)","SSP2","Israel","","Human Development Index",0.807181479,0.809696132,0.810320037,0.811332779,0.813481351,0.816404693,0.82044185,0.823581656,0.826271197,0.826711591,0.827262366,0.827739384,0.829274926,0.831011069
"Human Development Index Model (2015)","SSP2","Italy","","Human Development Index",0.800654037,0.810280714,0.826339912,0.843663807,0.858712039,0.870271197,0.879689963,0.886193392,0.891121357,0.893623204,0.895576861,0.897622788,0.900025646,0.901980942
"Human Development Index Model (2015)","SSP2","Jamaica","","Human Development Index",0.660091894,0.669949353,0.688473596,0.709230034,0.726090158,0.739206386,0.749027031,0.755719115,0.760794514,0.763786239,0.766237526,0.768757904,0.771634132,0.77505076
"Human Development Index Model (2015)","SSP2","Japan","","Human Development Index",0.865650366,0.869576657,0.874678426,0.880787908,0.886581721,0.891492504,0.89611071,0.899040975,0.901246344,0.901404467,0.901077382,0.901169146,0.90166516,0.902467849
"Human Development Index Model (2015)","SSP2","Jordan","","Human Development Index",0.668253075,0.688456544,0.715201805,0.738597487,0.756579183,0.769680687,0.780555264,0.788098817,0.794019807,0.797702072,0.800537625,0.80324034,0.805713069,0.808035395
"Human Development Index Model (2015)","SSP2","Kazakhstan","","Human Development Index",0.691192047,0.714829589,0.734614159,0.748357563,0.756774939,0.762752879,0.768035913,0.77187776,0.775049709,0.776656314,0.778249055,0.780140467,0.782407888,0.784896383
"Human Development Index Model (2015)","SSP2","Kenya","","Human Development Index",0.475578603,0.495951355,0.522566935,0.549274932,0.571970018,0.591082644,0.60741193,0.621822073,0.634687588,0.645213332,0.655077662,0.663772232,0.672405695,0.680162043
"Human Development Index Model (2015)","SSP2","Kuwait","","Human Development Index",0.755234188,0.765349871,0.773423387,0.778038699,0.781331801,0.785694356,0.792341188,0.798711418,0.805441622,0.811287996,0.816295523,0.820814832,0.824958217,0.828955598
"Human Development Index Model (2015)","SSP2","Kyrgyzstan","","Human Development Index",0.569927277,0.60473001,0.662937638,0.708256746,0.735150885,0.750388787,0.759377735,0.764668593,0.76773111,0.768836685,0.769667876,0.770897477,0.772603853,0.774687954
"Human Development Index Model (2015)","SSP2","Laos","","Human Development Index",0.484377229,0.506765805,0.526592736,0.540040485,0.551385207,0.562397858,0.573649043,0.583596116,0.59336924,0.601893289,0.610093819,0.61847662,0.627154911,0.636029438
"Human Development Index Model (2015)","SSP2","Latvia","","Human Development Index",0.759837638,0.77367465,0.78937058,0.803277388,0.81250777,0.818816935,0.823428337,0.826180282,0.828075576,0.828360517,0.828616724,0.829456816,0.830850404,0.832708767
"Human Development Index Model (2015)","SSP2","Lebanon","","Human Development Index",0.702866256,0.721396268,0.739210268,0.752012174,0.76239761,0.772097066,0.781962788,0.79031769,0.797397526,0.802009016,0.805381117,0.808571261,0.811882255,0.815485956
"Human Development Index Model (2015)","SSP2","Lesotho","","Human Development Index",0.427181734,0.440979078,0.453830316,0.4670036,0.48257413,0.499157654,0.516697672,0.533528531,0.550356156,0.565527753,0.580634172,0.595011453,0.609119662,0.622630502
"Human Development Index Model (2015)","SSP2","Liberia","","Human Development Index",0.242172639,0.267663508,0.308484245,0.345327206,0.377177804,0.407757816,0.436421848,0.463499136,0.488449356,0.510922621,0.531741908,0.551494466,0.570304601,0.588474457
"Human Development Index Model (2015)","SSP2","Lithuania","","Human Development Index",0.773138483,0.789270992,0.804704724,0.817574139,0.826019398,0.830538038,0.8343722,0.836088989,0.83714929,0.836648943,0.836350577,0.836569398,0.837478268,0.838835243
"Human Development Index Model (2015)","SSP2","Luxembourg","","Human Development Index",0.848617407,0.861723103,0.876942229,0.889165633,0.899230832,0.907040514,0.914277583,0.919636004,0.923828229,0.925890688,0.927235377,0.928517322,0.929618679,0.930757392
"Human Development Index Model (2015)","SSP2","Madagascar","","Human Development Index",0.369131451,0.381701145,0.400261132,0.418725789,0.43576445,0.451584178,0.466727424,0.481070986,0.495663005,0.508943655,0.522382135,0.535585688,0.549361375,0.563092381
"Human Development Index Model (2015)","SSP2","Malawi","","Human Development Index",0.369571454,0.391189338,0.419569052,0.444871624,0.469123446,0.491562719,0.512997479,0.532307497,0.550525794,0.566575501,0.581289945,0.595864186,0.609558852,0.622785223
"Human Development Index Model (2015)","SSP2","Malaysia","","Human Development Index",0.742495114,0.756990156,0.772126372,0.786927439,0.800423816,0.812910043,0.823935845,0.832324881,0.838768796,0.84279267,0.845301709,0.847217751,0.848919403,0.850635644
"Human Development Index Model (2015)","SSP2","Maldives","","Human Development Index",0.61897067,0.645007044,0.666363206,0.683742104,0.698657195,0.712475227,0.725791461,0.738602533,0.750351684,0.759866641,0.768060771,0.776297276,0.784281263,0.79290166
"Human Development Index Model (2015)","SSP2","Mali","","Human Development Index",0.252437296,0.274887401,0.299969207,0.328043802,0.357167449,0.385483981,0.41243879,0.437553069,0.461105826,0.482622384,0.502303907,0.521298458,0.539497618,0.556484386
"Human Development Index Model (2015)","SSP2","Malta","","Human Development Index",0.787100472,0.802665929,0.821743122,0.840017608,0.855576903,0.867890439,0.879010251,0.887354924,0.894024252,0.897815724,0.900424568,0.902730808,0.904926942,0.907236502
"Human Development Index Model (2015)","SSP2","Mauritius","","Human Development Index",0.644875566,0.658439915,0.669977317,0.679794648,0.689608952,0.699478307,0.710872927,0.722471298,0.733834856,0.743760311,0.753161546,0.76229788,0.771284446,0.780662085
"Human Development Index Model (2015)","SSP2","Mexico","","Human Development Index",0.705090307,0.718900083,0.734439532,0.751154146,0.765558586,0.777345319,0.788773326,0.798779636,0.807457468,0.81334643,0.818525241,0.822819536,0.827398838,0.831745162
"Human Development Index Model (2015)","SSP2","Moldova","","Human Development Index",0.612448255,0.642946038,0.692213436,0.732159795,0.756844219,0.770771617,0.78003734,0.784891169,0.787969103,0.788987085,0.789807814,0.791163133,0.793137885,0.79563554
"Human Development Index Model (2015)","SSP2","Mongolia","","Human Development Index",0.604714077,0.617391136,0.634694036,0.648711567,0.659988764,0.669598387,0.678260774,0.685992044,0.692995506,0.698311596,0.703003444,0.707667722,0.712231598,0.716765638
"Human Development Index Model (2015)","SSP2","Morocco","","Human Development Index",0.529307168,0.554431621,0.577421294,0.598418483,0.618615676,0.637810312,0.656486916,0.673332511,0.688946065,0.702190875,0.714368775,0.726759028,0.738848095,0.750082055
"Human Development Index Model (2015)","SSP2","Mozambique","","Human Development Index",0.283301941,0.316346476,0.347736571,0.37623965,0.402127419,0.4261398,0.449167229,0.471470569,0.492858336,0.513133399,0.53174121,0.549750202,0.56684948,0.583564502
"Human Development Index Model (2015)","SSP2","Namibia","","Human Development Index",0.584740589,0.593637861,0.611194554,0.628291662,0.642440937,0.655319875,0.666982946,0.677396155,0.687819716,0.696455579,0.704093829,0.710557751,0.716530364,0.722308884
"Human Development Index Model (2015)","SSP2","Nepal","","Human Development Index",0.439271471,0.46842525,0.49953015,0.525473694,0.54814504,0.568732019,0.590524359,0.611169654,0.630224155,0.646389869,0.661073954,0.674547777,0.686878807,0.698146413
"Human Development Index Model (2015)","SSP2","Netherlands","","Human Development Index",0.835834369,0.84222251,0.851628924,0.86094645,0.868730586,0.875066231,0.880956091,0.885549076,0.88882679,0.890619211,0.891905773,0.893254884,0.894754587,0.896318685
"Human Development Index Model (2015)","SSP2","New Zealand","","Human Development Index",0.843251706,0.849891688,0.858361963,0.866844698,0.873902234,0.88006287,0.885401903,0.888956571,0.891634649,0.892384753,0.892798062,0.893397099,0.89417569,0.895145821
"Human Development Index Model (2015)","SSP2","Nicaragua","","Human Development Index",0.533635221,0.548543711,0.566476339,0.584698463,0.602656875,0.619866972,0.636266967,0.651372771,0.665414063,0.67758127,0.688703283,0.699191222,0.709240443,0.720020957
"Human Development Index Model (2015)","SSP2","Niger","","Human Development Index",0.240190332,0.258984294,0.283125037,0.310358182,0.337607698,0.362887455,0.387505179,0.410928443,0.434246644,0.456295809,0.477389228,0.497290198,0.516794992,0.535884653
"Human Development Index Model (2015)","SSP2","Nigeria","","Human Development Index",0.456445013,0.489761069,0.520029747,0.544961348,0.566139404,0.584833849,0.602254526,0.619317359,0.635822832,0.650258927,0.662897415,0.67423856,0.683875017,0.692929707
"Human Development Index Model (2015)","SSP2","North Macedonia","","Human Development Index",0.705316581,0.722523129,0.747938054,0.770603011,0.788076316,0.801238231,0.812129888,0.819822531,0.825680891,0.82930814,0.832342457,0.835220432,0.83875301,0.842362951
"Human Development Index Model (2015)","SSP2","Norway","","Human Development Index",0.875775215,0.882016208,0.891370326,0.90084837,0.908428541,0.914722016,0.920037866,0.923240853,0.925561253,0.926155777,0.926338855,0.926314135,0.927000052,0.927316031
"Human Development Index Model (2015)","SSP2","Pakistan","","Human Development Index",0.457287371,0.476578073,0.496205363,0.516095818,0.535654553,0.555663346,0.576026977,0.595824704,0.614836052,0.631640759,0.647200761,0.662435647,0.676417933,0.689618408
"Human Development Index Model (2015)","SSP2","Panama","","Human Development Index",0.724116109,0.741851367,0.759938139,0.772521905,0.782461813,0.790225924,0.798161504,0.805322973,0.811995808,0.816914624,0.820520649,0.823494422,0.826074153,0.828536505
"Human Development Index Model (2015)","SSP2","Paraguay","","Human Development Index",0.610623812,0.622594918,0.636754926,0.652875762,0.66909918,0.684745287,0.700140807,0.713878573,0.725489891,0.734520958,0.742562163,0.75018782,0.758513083,0.767048735
"Human Development Index Model (2015)","SSP2","Peru","","Human Development Index",0.690462083,0.707180224,0.72488796,0.738055568,0.748731866,0.75761548,0.765935178,0.772637255,0.778394833,0.782023568,0.784848783,0.787220292,0.789468481,0.791553393
"Human Development Index Model (2015)","SSP2","Philippines","","Human Development Index",0.606502656,0.619580255,0.636577694,0.651945144,0.666476944,0.680126254,0.693722451,0.70482393,0.714728349,0.721892561,0.727334434,0.732771669,0.737716663,0.742382205
"Human Development Index Model (2015)","SSP2","Poland","","Human Development Index",0.779569632,0.792139585,0.807678239,0.819234507,0.826895697,0.8319551,0.836442491,0.839495993,0.841804065,0.842341883,0.842529691,0.843095242,0.84407175,0.845547638
"Human Development Index Model (2015)","SSP2","Portugal","","Human Development Index",0.72717345,0.740295173,0.757978707,0.778824963,0.799077705,0.816413047,0.831351202,0.84268928,0.851498132,0.857215048,0.861653871,0.865715748,0.869293537,0.872520659
"Human Development Index Model (2015)","SSP2","Romania","","Human Development Index",0.716145342,0.733250982,0.75268831,0.769342437,0.78105562,0.789584786,0.796714009,0.801277886,0.804421154,0.805727291,0.806860229,0.808876432,0.810830637,0.813048066
"Human Development Index Model (2015)","SSP2","Russian Federation","","Human Development Index",0.703238986,0.717039411,0.730450919,0.741367398,0.74852381,0.754629922,0.760072365,0.764671413,0.768490792,0.77104986,0.773412054,0.776209224,0.779372084,0.78224372
"Human Development Index Model (2015)","SSP2","Rwanda","","Human Development Index",0.37041931,0.392259822,0.409091046,0.422834278,0.436723202,0.451229863,0.465707489,0.48109356,0.49779226,0.513713522,0.530287779,0.546540599,0.563063605,0.5785417
"Human Development Index Model (2015)","SSP2","Saint Lucia","","Human Development Index",0.689895073,0.699875243,0.710253655,0.720786311,0.730175224,0.738843855,0.747837987,0.755567687,0.76316455,0.769040008,0.774099551,0.778502481,0.782615332,0.786851437
"Human Development Index Model (2015)","SSP2","Saint Vincent and the Grenadines","","Human Development Index",0.687903932,0.705682293,0.725568369,0.7390102,0.748540466,0.755967014,0.76385273,0.770784012,0.776783753,0.780875983,0.784329174,0.787577756,0.792013954,0.797356101
"Human Development Index Model (2015)","SSP2","Samoa","","Human Development Index",0.629656661,0.64043621,0.656564896,0.673768862,0.688974361,0.702614662,0.715067702,0.725593683,0.734967395,0.741746438,0.747849082,0.753483762,0.759243524,0.765000768
"Human Development Index Model (2015)","SSP2","Sao Tome and Principe","","Human Development Index",0.428141241,0.446974915,0.467323249,0.482026524,0.494613266,0.506077416,0.517280833,0.528271434,0.539758997,0.550626576,0.56158743,0.572726473,0.583992617,0.595136267
"Human Development Index Model (2015)","SSP2","Saudi Arabia","","Human Development Index",0.755973106,0.768664222,0.777000255,0.784304297,0.792649119,0.801272964,0.810627201,0.817646559,0.823161182,0.825693569,0.827114872,0.828375381,0.82979101,0.831453975
"Human Development Index Model (2015)","SSP2","Senegal","","Human Development Index",0.382682552,0.401940623,0.423355939,0.445130081,0.465670051,0.485072733,0.503545183,0.522091528,0.541414503,0.559623998,0.577166935,0.593896049,0.610641169,0.626937009
"Human Development Index Model (2015)","SSP2","Serbia","","Human Development Index",0.712443139,0.726622514,0.74935583,0.76917723,0.782727364,0.791837717,0.799166114,0.80344107,0.80652207,0.80819252,0.809650022,0.811111709,0.813298521,0.815366456
"Human Development Index Model (2015)","SSP2","Sierra Leone","","Human Development Index",0.311503433,0.337064682,0.35907115,0.380809309,0.401381162,0.421246962,0.441231919,0.460649613,0.47976513,0.497798911,0.515553727,0.532989265,0.549712026,0.566322675
"Human Development Index Model (2015)","SSP2","Singapore","","Human Development Index",0.839914947,0.849626272,0.858510332,0.864642561,0.868508792,0.87156159,0.874689793,0.876298953,0.876961325,0.875393733,0.873270207,0.87122632,0.869371714,0.867782242
"Human Development Index Model (2015)","SSP2","Slovakia","","Human Development Index",0.787982889,0.799038721,0.806626575,0.811721103,0.815560279,0.819367165,0.824518774,0.828304093,0.831557038,0.833099828,0.83433654,0.836044635,0.838202651,0.840675718
"Human Development Index Model (2015)","SSP2","Slovenia","","Human Development Index",0.815109069,0.820052362,0.822995189,0.826015032,0.829669192,0.833869315,0.838889021,0.842864996,0.846117576,0.847540193,0.848789602,0.850461387,0.852401867,0.854673312
"Human Development Index Model (2015)","SSP2","South Africa","","Human Development Index",0.577540507,0.595721786,0.61271386,0.626084685,0.638392674,0.649817209,0.661672671,0.671561046,0.680951184,0.688371396,0.694921868,0.701013617,0.707357972,0.713647262
"Human Development Index Model (2015)","SSP2","South Korea","","Human Development Index",0.839897831,0.847367021,0.85285468,0.857873735,0.862402069,0.866281479,0.87067763,0.873355851,0.875375722,0.875580524,0.875430686,0.87549575,0.875836701,0.876627571
"Human Development Index Model (2015)","SSP2","Spain","","Human Development Index",0.787977566,0.800352661,0.816427554,0.831936814,0.845670985,0.85679547,0.866278212,0.873176526,0.878966851,0.882603108,0.885656266,0.888295753,0.89124944,0.893903287
"Human Development Index Model (2015)","SSP2","Sudan","","Human Development Index",0.397818234,0.422888746,0.449380895,0.475677846,0.500502469,0.522968699,0.542314307,0.559887275,0.575817052,0.590098223,0.603693504,0.616660971,0.629273259,0.641475029
"Human Development Index Model (2015)","SSP2","Suriname","","Human Development Index",0.656473491,0.673425788,0.692055769,0.707672869,0.720195075,0.730327151,0.739264374,0.746680826,0.753656701,0.759035857,0.763844652,0.768501835,0.773213762,0.777771469
"Human Development Index Model (2015)","SSP2","Sweden","","Human Development Index",0.854058431,0.860779839,0.871974657,0.883735796,0.893084494,0.899770117,0.905357471,0.908458193,0.910735267,0.910471504,0.910274932,0.910457949,0.910822432,0.911279687
"Human Development Index Model (2015)","SSP2","Switzerland","","Human Development Index",0.868825178,0.873316995,0.879214387,0.885137687,0.889877752,0.893927007,0.898792436,0.901914922,0.904410681,0.905139885,0.905504678,0.90623342,0.907240843,0.908360892
"Human Development Index Model (2015)","SSP2","Syria","","Human Development Index",0.575604822,0.593686606,0.615779033,0.634566868,0.651367394,0.666893342,0.681277524,0.693788889,0.705257101,0.714714776,0.723419994,0.731937615,0.740277314,0.748567501
"Human Development Index Model (2015)","SSP2","Tajikistan","","Human Development Index",0.572210941,0.609983195,0.66782088,0.712407925,0.738542775,0.753469346,0.762831566,0.768170127,0.771694902,0.773341392,0.774753844,0.776387261,0.778589547,0.781293362
"Human Development Index Model (2015)","SSP2","Tanzania","","Human Development Index",0.44062165,0.465305405,0.481113095,0.493081877,0.503671581,0.513792409,0.524284565,0.534999019,0.546608175,0.557590777,0.568519818,0.580008102,0.591235238,0.603036234
"Human Development Index Model (2015)","SSP2","Thailand","","Human Development Index",0.65723584,0.672076315,0.689284381,0.7056594,0.720092276,0.733044099,0.746057328,0.757399132,0.768487286,0.777313476,0.783730232,0.788616418,0.792805734,0.796411539
"Human Development Index Model (2015)","SSP2","Timor-Leste","","Human Development Index",0.518964017,0.557558032,0.607604228,0.651461816,0.684420581,0.710089261,0.731584111,0.747786318,0.760837755,0.770214559,0.777560297,0.783555913,0.788857676,0.793877416
"Human Development Index Model (2015)","SSP2","Tonga","","Human Development Index",0.644148012,0.652669021,0.66269808,0.674679609,0.686142498,0.696711607,0.707242777,0.71553907,0.722726349,0.728060913,0.732397593,0.73653395,0.740590343,0.744729067
"Human Development Index Model (2015)","SSP2","Trinidad and Tobago","","Human Development Index",0.720536702,0.7314297,0.731251212,0.72593534,0.724204301,0.72604044,0.732094665,0.737923579,0.743338411,0.747066964,0.75053413,0.753971644,0.757554604,0.761533013
"Human Development Index Model (2015)","SSP2","Tunisia","","Human Development Index",0.662095382,0.686172794,0.708334514,0.7247922,0.740209831,0.756082212,0.77318185,0.78890341,0.80272645,0.81264944,0.819850225,0.825357615,0.829842157,0.833589255
"Human Development Index Model (2015)","SSP2","Turkey","","Human Development Index",0.666485259,0.68002586,0.696318416,0.712980933,0.72717329,0.740264098,0.752548688,0.762969724,0.77217294,0.778903258,0.786216458,0.793714901,0.800842267,0.807392495
"Human Development Index Model (2015)","SSP2","Turkmenistan","","Human Development Index",0.643195309,0.659668525,0.685322414,0.703525512,0.714668041,0.721840176,0.726934105,0.730115501,0.732710222,0.733826528,0.734922926,0.736557459,0.738815046,0.74147454
"Human Development Index Model (2015)","SSP2","Uganda","","Human Development Index",0.39873089,0.417902316,0.436491832,0.453033155,0.468866024,0.485099664,0.501381137,0.51754082,0.534275524,0.54989035,0.565476974,0.580270751,0.594682086,0.608664742
"Human Development Index Model (2015)","SSP2","Ukraine","","Human Development Index",0.650706394,0.669553136,0.697523534,0.722989167,0.739581003,0.749869206,0.757756512,0.763009336,0.767426133,0.770380275,0.772700274,0.776049129,0.779202146,0.783104988
"Human Development Index Model (2015)","SSP2","United Kingdom","","Human Development Index",0.815788697,0.825320339,0.839371917,0.854962233,0.868163316,0.879175256,0.889020461,0.896340093,0.902135824,0.905444355,0.908095996,0.910753793,0.913426152,0.916022261
