"model","scenario","region","unit","variable","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075"
"Human Development Index Model (2015)","SSP1","Chile","","Human Development Index",0.76586292,0.778433118,0.792162093,0.805491704,0.818059772,0.828592614,0.838012366,0.8458424,0.850257109,0.851782426,0.850314301,0.849820318,0.850282446,0.851061792
"Human Development Index Model (2015)","SSP1","China","","Human Development Index",0.647348169,0.679701304,0.713141652,0.737812886,0.756137549,0.769994355,0.781146851,0.790713745,0.797029463,0.800800756,0.801744294,0.803306438,0.805168862,0.806822346
"Human Development Index Model (2015)","SSP1","Colombia","","Human Development Index",0.669541795,0.687486489,0.70675233,0.72423494,0.740091397,0.753416064,0.767014228,0.780024421,0.789722411,0.795692194,0.797717244,0.799257503,0.80045669,0.801450939
"Human Development Index Model (2015)","SSP1","Comoros","","Human Development Index",0.419056984,0.44230698,0.469005663,0.499885114,0.529241889,0.556695001,0.583616733,0.607448089,0.629679851,0.647291191,0.660715323,0.672845389,0.683913462,0.693629832
"Human Development Index Model (2015)","SSP1","Congo","","Human Development Index",0.519676837,0.548224397,0.590506137,0.628029512,0.658578015,0.682191677,0.70169832,0.718439386,0.730581888,0.740149076,0.746849019,0.75416333,0.7616179,0.768408383
"Human Development Index Model (2015)","SSP1","Costa Rica","","Human Development Index",0.698483227,0.712994669,0.727159029,0.739307447,0.750081191,0.758938305,0.767319672,0.775439689,0.782787694,0.788874373,0.791927984,0.794468887,0.796903648,0.799308616
"Human Development Index Model (2015)","SSP1","Croatia","","Human Development Index",0.762104119,0.774915173,0.787181878,0.798490219,0.808297603,0.816035826,0.822623797,0.828049791,0.830911945,0.831757096,0.830469293,0.830361749,0.831101908,0.83209684
"Human Development Index Model (2015)","SSP1","Cuba","","Human Development Index",0.701235634,0.715767892,0.733743201,0.747715138,0.759440012,0.768326922,0.776009493,0.782262637,0.785673607,0.7871816,0.786432615,0.787029544,0.788523075,0.790288658
"Human Development Index Model (2015)","SSP1","Cyprus","","Human Development Index",0.823626686,0.837001526,0.854877198,0.870712142,0.882278506,0.889991844,0.896078379,0.900878396,0.902620217,0.902087451,0.898935346,0.896734019,0.895238578,0.893986286
"Human Development Index Model (2015)","SSP1","Czechia","","Human Development Index",0.81177614,0.819268604,0.824673464,0.829367722,0.834991062,0.840840044,0.847160742,0.852725307,0.855345385,0.855780996,0.853773259,0.853242309,0.853473512,0.854075592
"Human Development Index Model (2015)","SSP1","Côte d'Ivoire","","Human Development Index",0.408574523,0.439825611,0.472969508,0.504357521,0.537430065,0.569435278,0.600416098,0.629613971,0.653546583,0.673203051,0.688790957,0.703025952,0.715910781,0.727060381
"Human Development Index Model (2015)","SSP1","Democratic Republic of the Congo","","Human Development Index",0.284879925,0.359604107,0.455001645,0.530397588,0.584007351,0.622021458,0.651282253,0.675385264,0.693553941,0.707390504,0.717934421,0.72787572,0.736656403,0.744498994
"Human Development Index Model (2015)","SSP1","Denmark","","Human Development Index",0.82908314,0.832137427,0.835650012,0.840785658,0.84622873,0.851160188,0.856064506,0.860494279,0.862629633,0.862865953,0.860514224,0.859281379,0.85877076,0.858544618
"Human Development Index Model (2015)","SSP1","Dominican Republic","","Human Development Index",0.681429936,0.699815784,0.718219837,0.73322691,0.747617689,0.760652897,0.77253672,0.783082367,0.790109763,0.794185341,0.794860078,0.795788344,0.797094378,0.798565941
"Human Development Index Model (2015)","SSP1","Ecuador","","Human Development Index",0.676398397,0.694739546,0.717363318,0.739062793,0.758090973,0.773346591,0.787474764,0.800115564,0.809347625,0.814936219,0.816801031,0.818334006,0.81975059,0.820890422
"Human Development Index Model (2015)","SSP1","Egypt","","Human Development Index",0.628448877,0.651817895,0.675638992,0.697429332,0.718224294,0.736996266,0.754122558,0.769013857,0.779793664,0.786941227,0.790264508,0.793150281,0.795546145,0.797322519
"Human Development Index Model (2015)","SSP1","El Salvador","","Human Development Index",0.616404702,0.636466328,0.65671207,0.677247765,0.696401887,0.713691459,0.731057811,0.747330501,0.760114888,0.769211603,0.773991211,0.77811637,0.781727509,0.784889252
"Human Development Index Model (2015)","SSP1","Equatorial Guinea","","Human Development Index",0.597752724,0.629441137,0.654001775,0.670486051,0.685999706,0.702052826,0.71679855,0.731885758,0.742757493,0.75056319,0.755315009,0.759970226,0.764716715,0.768991714
"Human Development Index Model (2015)","SSP1","Estonia","","Human Development Index",0.782575485,0.791745239,0.801618085,0.811944451,0.820189468,0.826087158,0.830883084,0.834494996,0.835682103,0.835487198,0.833319734,0.832631356,0.832769558,0.833231768
"Human Development Index Model (2015)","SSP1","Eswatini","","Human Development Index",0.52194883,0.552364941,0.578494039,0.606459795,0.633670027,0.657562053,0.678141604,0.697006601,0.710908443,0.722195545,0.730229219,0.737612857,0.744222144,0.750344158
"Human Development Index Model (2015)","SSP1","Ethiopia","","Human Development Index",0.358364854,0.406427207,0.453823169,0.486738406,0.516849233,0.544929368,0.57236993,0.599108803,0.621849418,0.641741404,0.658309031,0.674310777,0.68932187,0.70417715
"Human Development Index Model (2015)","SSP1","Finland","","Human Development Index",0.85652251,0.861516586,0.867690244,0.874077597,0.879893884,0.884032452,0.887719342,0.890795382,0.891307001,0.889674383,0.88557624,0.88262284,0.880565767,0.878685661
"Human Development Index Model (2015)","SSP1","France","","Human Development Index",0.825748111,0.835516612,0.84990415,0.864864844,0.877989525,0.888346129,0.897005476,0.904109255,0.907839476,0.909036104,0.907020918,0.90575277,0.904987045,0.904291439
"Human Development Index Model (2015)","SSP1","Gabon","","Human Development Index",0.611691512,0.639534098,0.660493722,0.677297331,0.693258228,0.708500939,0.722809064,0.736039192,0.745490675,0.753197678,0.758484854,0.763765221,0.768658547,0.772833528
"Human Development Index Model (2015)","SSP1","Gambia","","Human Development Index",0.447175642,0.489375845,0.528475851,0.560701904,0.589835706,0.614970409,0.63759878,0.658396393,0.674798669,0.688585268,0.698799492,0.70823622,0.716681629,0.723981466
"Human Development Index Model (2015)","SSP1","Georgia","","Human Development Index",0.711020317,0.742407185,0.790988859,0.823859502,0.839812101,0.845594397,0.84792505,0.849833285,0.850715708,0.851057823,0.849845865,0.849819447,0.850476305,0.851220313
"Human Development Index Model (2015)","SSP1","Germany","","Human Development Index",0.870534427,0.873746337,0.87727652,0.881041127,0.885198103,0.889084175,0.893364643,0.897514799,0.899355928,0.899434127,0.89702752,0.895872216,0.89538312,0.895047048
"Human Development Index Model (2015)","SSP1","Ghana","","Human Development Index",0.500180269,0.530966884,0.561275747,0.587884323,0.615020884,0.641561257,0.667051253,0.691276032,0.710594973,0.726131016,0.737453235,0.747470625,0.756282165,0.763770108
"Human Development Index Model (2015)","SSP1","Greece","","Human Development Index",0.791997806,0.803457438,0.817356939,0.831694725,0.845495611,0.856651636,0.866386706,0.874265817,0.878640722,0.880380194,0.878969945,0.878300269,0.878011172,0.877780211
"Human Development Index Model (2015)","SSP1","Guatemala","","Human Development Index",0.548470531,0.572606492,0.598404583,0.622333377,0.643550021,0.661683069,0.678154135,0.692319109,0.703682111,0.712297545,0.717944425,0.723639923,0.729057655,0.733692247
"Human Development Index Model (2015)","SSP1","Guinea","","Human Development Index",0.337876037,0.376249506,0.41516034,0.452578542,0.490916715,0.528213013,0.564055495,0.596678894,0.62360431,0.645621734,0.662579219,0.677543279,0.690888903,0.702566887
"Human Development Index Model (2015)","SSP1","Guinea-Bissau","","Human Development Index",0.346886656,0.386520345,0.424186811,0.457604013,0.488281169,0.517153198,0.544452667,0.570255563,0.592383243,0.611584122,0.628066205,0.643670374,0.657536914,0.669732905
"Human Development Index Model (2015)","SSP1","Guyana","","Human Development Index",0.607754955,0.617029043,0.629823235,0.644534997,0.660592207,0.676092671,0.690705256,0.703470504,0.713594662,0.720785722,0.7247616,0.728471454,0.731832313,0.734773691
"Human Development Index Model (2015)","SSP1","Haiti","","Human Development Index",0.440542938,0.472745837,0.512993528,0.552660531,0.590530658,0.623536028,0.652694769,0.67693864,0.696087394,0.712002425,0.723957185,0.734268334,0.742996442,0.749945164
"Human Development Index Model (2015)","SSP1","Honduras","","Human Development Index",0.556805399,0.579723857,0.604961236,0.628625078,0.649478947,0.667636821,0.684287831,0.699095581,0.710948057,0.719993411,0.725683357,0.732200513,0.738825603,0.744691293
"Human Development Index Model (2015)","SSP1","Hong Kong","","Human Development Index",0.865079985,0.875922858,0.886950274,0.896440601,0.905598347,0.913843681,0.921798844,0.928471716,0.931997989,0.932749359,0.930300387,0.928685508,0.927438931,0.926136
"Human Development Index Model (2015)","SSP1","Hungary","","Human Development Index",0.75613089,0.766666849,0.779160128,0.79182137,0.802435915,0.810516561,0.817212849,0.822709853,0.825688686,0.826799408,0.825574486,0.82537592,0.825865109,0.826698291
