model_name,$3,$4.20,$8.30,$10,Mean RMSE
XGBoost CPU,2219287935711.8687,2219287935711.8687,6.675,7.2832,1109643967859.4238
XGBoost GPU,2219287935711.8687,2219287935711.8687,6.675,7.2832,1109643967859.4238
Random Forest,2219287935711.864,2219287935711.864,8.3113,8.7081,1109643967860.1868
MLP,2219287935712.908,2219287935712.908,8.1222,8.4552,1109643967860.5984
GAM,2219287935712.3813,2219287935712.3813,8.6277,9.023,1109643967860.6035
Ridge,2219287935711.9014,2219287935711.9014,10.278,11.0261,1109643967861.2769
