Model,RMSE,MAE,R²,MAPE (%),Time (s),Train RMSE
Random Forest,2219287935711.864,524986726885.7016,-0.0593,100.0,0.3,1304474285902.1887
XGBoost CPU,2219287935711.8687,524986726889.6549,-0.0593,100.0,0.3,1304474285902.2063
XGBoost GPU,2219287935711.8687,524986726889.6549,-0.0593,100.0,0.2,1304474285902.2063
Ridge,2219287935711.9014,524986726904.6594,-0.0593,100.0,0.0,1304474285902.2998
GAM,2219287935712.3813,524986726917.8669,-0.0593,100.0,0.1,1304474285903.1042
MLP,2219287935712.908,524986726919.3606,-0.0593,100.0,0.1,1304474285903.4883
